MSOA,index-of-transport-accesibility,chargepoints
E02000194,0,0.04
E02000195,0,0.01
E02000196,0,0.01
E02000197,0,0.06
E02000198,0,0.01
E02000199,0,0.00
E02000200,0,0.03
E02000201,0,0.02
E02000202,0,0.01
E02000203,0,0.02
E02000204,0,0.06
E02000206,0,0.00
E02000207,0,0.01
E02000208,0,0.01
E02000209,0,0.03
E02000210,0,0.03
E02000211,0,0.00
E02000212,0,0.02
E02000213,0,0.06
E02000214,0,0.02
E02000215,0,0.04
E02000216,0,0.03
E02000217,0,0.05
E02000218,0,0.01
E02000219,0,0.01
E02000220,0,0.08
E02000221,0,0.02
E02000222,0,0.00
E02000223,0,0.01
E02000224,0,0.03
E02000225,0,0.01
E02000226,0,0.00
E02000227,0,0.00
E02000228,0,0.01
E02000229,0,0.00
E02000230,0,0.05
E02000231,0,0.01
E02000232,0,0.00
E02000233,0,0.02
E02000234,0,0.03
E02000235,0,0.01
E02000236,0,0.00
E02000237,0,0.01
E02006788,0,0.01
