MSOA,Name,index-of-transport-accesibility,chargepoints
E02005287,"Penwortham North",0.146,0
E02005288,"Gregson Lane & Coupe Green",0.132,0
E02005289,"Penwortham South",0.177,7
E02005290,"Walton-le-Dale",0.16,6
E02005291,"Lower Penwortham North",0.148,0
E02005292,"Lower Penwortham South",0.199,0
E02005293,"Bamber Bridge West",0.277,8
E02005294,"Bamber Bridge East",0.136,10
E02005295,"Lostock Hall",0.221,0
E02005296,"New Longton & Hutton",0.261,0
E02005297,"Longton & Walmer Bridge",0.26,4
E02005298,"Farington",0.114,0
E02005299,"Leyland North",0.125,1
E02005300,"Moss Side",0.277,0
E02005301,"Leyland South West",0.153,4
E02005302,"Leyland South East & Buckshaw Village",0.212,0
E02005303,"Seven Stars",0.196,0
