E02005287	Penwortham North
E02005288	Gregson Lane & Coupe Green
E02005289	Penwortham South
E02005290	Walton-le-Dale
E02005291	Lower Penwortham North
E02005292	Lower Penwortham South
E02005293	Bamber Bridge West
E02005294	Bamber Bridge East
E02005295	Lostock Hall
E02005296	New Longton & Hutton
E02005297	Longton & Walmer Bridge
E02005298	Farington
E02005299	Leyland North
E02005300	Moss Side
E02005301	Leyland South West
E02005302	Leyland South East & Buckshaw Village
E02005303	Seven Stars
