MSOA,index-of-transport-accesibility,chargepoints
E02002772,0.307,0.00
E02002773,0.234,0.00
E02002774,0.226,0.00
E02002775,0.28,0.00
E02002776,0.102,0.03
E02002777,0.263,0.03
E02002778,0.241,0.01
E02002779,0.127,0.00
E02002780,0.126,0.00
E02002781,0.074,0.01
E02002782,0.387,0.05
E02002783,0.184,0.00
E02002784,0.045,0.10
E02002785,0.184,0.00
E02002786,0.095,0.00
E02002787,0.142,0.00
E02002788,0.069,0.01
E02002789,0.215,0.00
E02002790,0.067,0.00
E02002791,0.31,0.01
E02002792,0.064,0.00
E02002793,0.127,0.02
E02002794,0.079,0.04
E02002795,0.204,0.00
