E02005377	Markfield & Thornton
E02005378	Groby East
E02005379	Groby West & Ratby
E02005380	Market Bosworth
E02005381	Desford & Newbold Verdon
E02005382	Earl Shilton
E02005383	Barwell
E02005384	Stoke Golding
E02005385	Hinckley East
E02005386	Hinckley Central
E02005387	Hinckley West
E02005388	Hinckley Clarendon Park
E02005389	Burbage St Catherines
E02005390	Burbage Sketchley & Stretton
