MSOA,Name,index-of-transport-accesibility,chargepoints
E02006075,"Bruton",0,0
E02006076,"Castle Cary & Kenton Mandeville",0,0
E02006077,"Somerton",0,0
E02006078,"Langport & Long Sutton",0,1
E02006079,"Wincanton",0,5
E02006080,"Ilchester",0,0
E02006081,"Curry Rivel & Fivehead",0,0
E02006082,"Templecombe",0,2
E02006083,"Martock",0,0
E02006084,"South Petherton",0,0
E02006085,"Yeovil North East",0,0
E02006086,"Yeovil Lufton & Hollands",0,0
E02006087,"Yeovil Larkhill",0,0
E02006088,"Yeovil Milford Park",0,0
E02006089,"Yeovil Town",0,2
E02006090,"Yeovil Preston Plucknett",0,0
E02006091,"Ham Hill & Merriott",0,0
E02006092,"Yeovil South",0,1
E02006093,"Ilminster & Horton",0,1
E02006094,"Stoford & the Cokers",0,0
E02006095,"Crewkerne",0,0
E02006096,"Chard North & East",0,2
E02006097,"Chard West",0,0
E02006098,"Tatworth & Combe St Nicholas",0,1
