E02005115	Sheerness East
E02005116	Sheerness West
E02005117	Minster North
E02005118	Minster South
E02005119	Queenborough
E02005120	Sheppey East
E02005121	Iwade & Kemsley
E02005122	Newington
E02005123	Borden & The Meads
E02005124	Sittingbourne Central & Milton Regis
E02005125	Sittingbourne East
E02005126	Sittingbourne West
E02005127	Sittingbourne South
E02005128	Faversham West
E02005129	Faversham East
E02005130	Teynham & Badlesmere
E02005131	Boughton & Selling
