MSOA,index-of-transport-accesibility,chargepoints
E02005702,0.238,0.05
E02005703,0.391,0.05
E02005704,0.187,0.01
E02005705,0.337,0.02
E02005706,0.29,0.04
E02005707,0.432,0.01
E02005708,0.243,0.05
E02005709,0.125,0.02
E02005710,0.065,0.04
E02005711,0.072,0.03
E02005712,0.065,0.00
E02005713,0.062,0.07
E02005714,0.138,0.00
E02005715,0.172,0.03
E02005716,0.147,0.02
E02005717,0.098,0.00
E02005718,0.174,0.02
E02005719,0.131,0.01
E02005720,0.236,0.00
E02005721,0.337,0.00
E02005722,0.675,0.05
E02005723,0.435,0.05
E02005724,0.519,0.03
E02005725,0.362,0.05
E02005726,0.333,0.00
E02005727,0.201,0.10
E02005728,0.244,0.05
E02005729,0.233,0.03
E02005730,0.232,0.15
E02005731,0.147,0.02
E02005732,0.47,0.02
E02005733,0.157,0.03
E02005734,0.144,0.01
E02005735,0.181,0.01
E02005736,0.221,0.08
E02005737,0.152,0.03
E02005738,0.143,0.00
E02005739,0.139,0.01
E02005740,0.204,0.00
E02005741,0.113,0.02
