MSOA,index-of-transport-accesibility,chargepoints
E02002183,0.207,0.00
E02002184,0.15,0.02
E02002185,0.121,0.00
E02002186,0.206,0.01
E02002187,0.15,0.00
E02002188,0.086,0.00
E02002189,0.153,0.00
E02002190,0.198,0.02
E02002191,0.118,0.00
E02002192,0.122,0.00
E02002193,0.163,0.00
E02002194,0.105,0.01
E02002195,0.107,0.01
E02002196,0.13,0.01
E02002197,0.157,0.02
E02002198,0.09,0.00
E02002199,0.075,0.01
E02002200,0.102,0.00
E02002201,0.084,0.01
E02002202,0.098,0.01
E02002203,0.08,0.00
E02002204,0.106,0.00
E02002205,0.155,0.01
E02002206,0.086,0.00
E02002207,0.095,0.00
E02002208,0.095,0.00
E02002209,0.086,0.00
E02002210,0.088,0.00
E02002211,0.127,0.00
E02002212,0.132,0.00
E02002213,0.166,0.00
E02002214,0.11,0.00
E02002215,0.125,0.01
E02002216,0.118,0.01
E02002217,0.083,0.00
E02002218,0.162,0.00
E02002219,0.119,0.00
E02002220,0.14,0.02
E02002221,0.109,0.05
E02002222,0.138,0.00
E02002223,0.116,0.01
E02002224,0.082,0.00
E02002225,0.001,0.00
E02002226,0.102,0.01
E02002227,0.11,0.00
E02002228,0.088,0.01
E02002229,0.107,0.00
E02002230,0.12,0.00
E02002231,0.096,0.04
E02002232,0.104,0.01
E02002233,0.116,0.00
E02002234,0.09,0.00
E02002235,0.162,0.01
E02002236,0.116,0.01
E02002237,0.125,0.00
E02002238,0.114,0.01
E02002239,0.104,0.01
E02002240,0.178,0.00
E02002241,0.1,0.01
E02002242,0.108,0.02
E02002243,0.137,0.01
