MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse,brownfield
E02002483,"Clavering",323,138.0,338.75,10.956,0,0.00,0.00,0.00,0.25
E02002484,"Headland & West View",296,31.0,1392.62,5.255,0,0.00,0.00,0.00,29.19
E02002485,"Jesmond",305,105.0,276.85,10.594,0,0.00,2568.28,0.00,1.36
E02002487,"Harbour & Victoria",297,105.0,5054.50,18.757,3,0.00,17816.33,0.00,3.25
E02002488,"Wooler Road",306,138.0,140.57,19.590,0,0.00,0.00,0.00,0.49
E02002489,"Old Town & Grange",285,202.0,2282.19,32.170,13,0.00,59.47,0.00,6.759
E02002490,"Foggy Furze",267,95.0,1362.81,6.340,0,0.00,12896.82,0.00,0.74
E02002491,"Rift House & Summerhill",280,64.0,778.44,6.434,0,0.00,0.00,0.00,2.69
E02002492,"Rossmere & Mill",291,64.0,279.82,8.006,0,0.00,0.00,0.00,1.21
E02002493,"Seaton Carew",255,64.0,2798.54,7.006,1,0.00,2316.70,9778.16,19
E02002494,"Owton Manor",291,64.0,178.53,9.222,0,0.00,0.00,0.00,0.14
E02002496,"Middlesbrough Central",279,96.0,10133.33,3.696,28,0.00,5827.22,10019.35,0.05
E02002497,"North Ormesby & Brambles",277,93.0,740.53,0.024,1,0.00,901.58,0.00,0
E02002498,"Ayresome",300,156.0,597.42,2.694,0,0.00,3279.87,0.00,0
E02002499,"Berwick Hills",260,39.0,670.86,0.000,1,0.00,7226.88,0.00,0
E02002500,"Linthorpe East & Albert Park",267,103.0,65.62,7.495,0,0.00,0.00,0.00,0
E02002501,"Park Vale",266,85.0,25.20,6.466,0,0.00,1678.57,0.00,0
E02002502,"Thorntree",227,111.0,188.59,1.484,0,0.00,0.00,0.00,0
E02002503,"Newport & Maze Park",301,225.0,1994.11,9.496,0,0.00,0.00,0.00,0
E02002504,"Linthorpe West",295,78.0,24.15,11.217,0,0.00,0.00,0.00,0
E02002505,"Park End",235,39.0,0.00,0.000,0,0.00,0.00,0.00,0
E02002506,"Beechwood & James Cook",252,25.0,1790.66,6.201,0,0.00,0.00,0.00,0
E02002507,"Acklam",296,60.0,298.48,8.257,0,0.00,0.00,0.00,0
E02002508,"Kader",299,93.0,313.73,6.430,0,0.00,0.00,0.00,0
E02002509,"Easterside",272,130.0,0.00,7.623,2,0.00,0.00,0.00,0
E02002510,"Trimdon",280,279.0,31.05,7.101,0,0.00,0.00,0.00,0
E02002512,"Marton West",273,105.0,0.00,12.257,0,0.00,0.00,0.00,0
E02002513,"Stainton & Hemlington",279,180.0,323.77,22.029,0,0.00,0.00,0.00,0
E02002514,"Coulby Newham",261,195.0,1725.73,32.318,4,0.00,9015.92,4694.02,0
E02002515,"Redcar Town & Coatham",182,110.0,2201.75,11.054,1,0.00,373.12,0.00,0.46
E02002516,"Redcar Lakes North",185,110.0,484.35,6.371,0,0.00,0.00,0.00,0
E02002517,"Dormanstown",193,196.0,1510.23,14.544,4,338564.22,0.00,0.00,0
E02002518,"Redcar East",176,110.0,623.15,9.175,2,0.00,4497.25,0.00,2.97
E02002519,"Redcar Lakes South",194,142.0,629.95,6.323,0,0.00,0.00,0.00,0.55
E02002520,"Marske",191,201.0,650.71,29.075,4,0.00,0.00,0.00,1.36
E02002521,"Saltburn",167,59.0,1124.94,13.014,0,0.00,1826.21,0.00,0.02
E02002523,"Grangetown",235,68.0,0.00,5.729,0,0.00,0.00,0.00,10.68
E02002524,"Brotton",137,77.0,116.84,9.207,0,0.00,0.00,0.00,0.23
E02002525,"Eston",245,164.0,146.90,5.620,0,0.00,0.00,0.00,0.67
E02002526,"Skelton",160,132.0,852.25,18.522,1,0.00,7040.90,0.00,1.16
E02002527,"Loftus & Skinningrove",115,18.0,144.39,4.957,1,0.00,0.00,0.00,4.32
E02002529,"Bankfields",191,126.0,271.51,4.591,2,0.00,0.00,0.00,0.17
E02002530,"Boosbeck",118,132.0,977.72,12.604,0,0.00,0.00,713.62,4.66
E02002532,"Guisborough North",175,127.0,1266.21,20.634,5,0.00,9365.19,0.00,1.5
E02002533,"Guisborough West",139,55.0,146.02,12.799,0,0.00,0.00,0.00,0
E02002534,"Guisborough Outer & Upleatham",126,249.0,974.43,12.840,2,0.00,0.00,0.00,0.27
E02002535,"Billingham North & Wolviston",322,158.0,897.52,18.523,13,0.00,0.00,0.00,0
E02002536,"Billingham Central",318,158.0,1123.56,27.613,7,0.00,3368.92,0.00,0
E02002537,"Billingham East & Haverton Hill",298,83.0,1249.92,11.391,6,0.00,5640.52,34528.55,0
E02002538,"Billingham South",325,243.0,443.94,8.758,0,0.00,0.00,0.00,0.17
E02002539,"Billingham West",307,565.0,3666.78,67.934,3,0.00,0.00,30812.38,0
E02002540,"Norton North",324,36.0,286.92,8.000,0,0.00,0.00,0.00,0
E02002541,"Norton High Street",323,36.0,220.36,9.385,0,0.00,1481.43,0.00,0
E02002542,"Roseworth",300,167.0,1572.92,7.742,4,0.00,16158.21,0.00,0
E02002543,"Hardwick & Salters Lane",287,131.0,710.70,10.106,8,0.00,314.19,0.00,0
E02002544,"Norton South",298,224.0,1205.72,15.203,6,0.00,0.00,8783.13,6.35
E02002545,"Rimswell & Bishopsgarth",267,131.0,337.16,3.804,0,0.00,0.00,0.00,0
E02002546,"Eastbourne & Newham Grange",281,781.0,52.91,65.255,0,0.00,0.00,0.00,17.15
E02002547,"Elm Tree & Grangefield",259,226.0,970.42,5.894,0,0.00,4067.94,0.00,0
E02002548,"Central Stockton",265,452.0,8490.37,45.292,40,0.00,13704.09,10141.21,78.64
E02002549,"Fairfield",261,348.0,467.11,9.817,0,0.00,0.00,0.00,0
E02002550,"Hartburn",245,174.0,38.81,9.567,0,0.00,0.00,0.00,0
E02002551,"Thornaby North",302,335.0,7477.59,34.077,15,0.00,6894.14,0.00,38.41
E02002552,"Thornaby Mandale",291,147.0,198.00,21.929,14,0.00,0.00,0.00,0
E02002553,"Thornaby Village",270,147.0,78.30,19.216,0,0.00,0.00,0.00,0.6
E02002554,"Thornaby South",282,147.0,1746.64,16.729,17,0.00,11547.16,843.03,0
E02002555,"Eaglescliffe",238,190.0,1202.52,54.923,0,0.00,2840.12,0.00,0
E02002556,"Ingleby Barwick East & Hilton",260,272.0,891.37,24.286,2,0.00,3681.00,0.00,0
E02002557,"Ingleby Barwick West",237,239.0,408.30,28.342,2,0.00,2241.71,0.00,0
E02002558,"Yarm",274,92.0,959.94,62.818,2,0.00,1534.54,0.00,0
E02002559,"Faverdale",342,859.0,5482.03,41.475,6,65557.10,14103.77,0.00,0
E02002560,"Harrowgate Hill",318,449.0,172.26,7.782,0,0.00,0.00,0.00,0
E02002561,"Whinfield",287,304.0,555.57,3.133,0,0.00,6341.00,0.00,0
E02002562,"Rise Carr",303,449.0,1267.39,8.024,1,0.00,12425.17,0.00,0
E02002563,"Haughton Le Skerne",285,304.0,134.82,3.157,0,0.00,0.00,0.00,0
E02002564,"Cockerton & Hopetown",317,145.0,392.40,15.592,0,0.00,0.00,0.00,0
E02002565,"Pierremont",308,145.0,126.20,10.319,0,0.00,0.00,0.00,0
