MSOA,index-of-transport-accesibility,chargepoints
E02001287,0.127,0.00
E02001288,0.144,0.00
E02001289,0.161,0.00
E02001290,0.116,0.00
E02001291,0.094,0.00
E02001292,0.102,0.03
E02001293,0.064,0.00
E02001294,0.08,0.02
E02001295,0.082,0.00
E02001296,0.076,0.01
E02001297,0.151,0.00
E02001298,0.086,0.00
E02001299,0.085,0.01
E02001300,0.139,0.00
E02001301,0.064,0.02
E02001302,0.088,0.01
E02001303,0.08,0.00
E02001304,0.133,0.00
E02001305,0.101,0.00
E02001306,0.15,0.00
E02001307,0.116,0.00
E02001308,0.092,0.00
E02001309,0.093,0.01
E02001310,0.078,0.00
E02001311,0.074,0.00
E02001312,0.001,0.00
E02001313,0.103,0.01
E02001314,0.082,0.00
E02001315,0.182,0.01
E02001316,0.117,0.12
E02001317,0.103,0.00
E02001318,0.132,0.00
E02001319,0.111,0.00
E02001320,0.162,0.00
E02001321,0.071,0.00
E02001322,0.171,0.00
E02001323,0.161,0.01
E02001324,0.247,0.01
E02001325,0.159,0.00
E02001326,0.215,0.00
