MSOA,index-of-transport-accesibility,chargepoints
E02003652,0,0.04
E02003653,0,0.05
E02003654,0,0.00
E02003655,0,0.00
E02003656,0,0.01
E02003657,0,0.01
E02003658,0,0.00
E02003659,0,0.01
E02003660,0,0.01
E02003661,0,0.03
E02003662,0,0.01
E02003663,0,0.02
E02003664,0,0.04
E02003665,0,0.01
E02003666,0,0.06
E02003667,0,0.00
E02003668,0,0.00
E02003669,0,0.01
E02003670,0,0.01
E02003671,0,0.01
E02003672,0,0.01
E02003673,0,0.01
E02003674,0,0.00
E02003675,0,0.00
E02003676,0,0.00
E02003677,0,0.02
E02003678,0,0.00
E02003679,0,0.01
E02003680,0,0.01
E02003681,0,0.02
E02003682,0,0.03
E02003683,0,0.04
E02003685,0,0.00
E02003686,0,0.01
E02003687,0,0.00
E02003688,0,0.01
E02003689,0,0.01
E02003690,0,0.05
E02003691,0,0.02
E02003692,0,0.00
E02003693,0,0.03
E02003694,0,0.00
E02003695,0,0.00
E02003696,0,0.02
E02003697,0,0.00
E02003698,0,0.00
E02003699,0,0.00
E02003701,0,0.01
E02003702,0,0.00
E02003703,0,0.02
E02003704,0,0.00
E02003705,0,0.00
E02003706,0,0.00
E02003707,0,0.00
E02003708,0,0.01
E02003709,0,0.01
E02003710,0,0.03
E02003711,0,0.03
E02003712,0,0.01
E02003713,0,0.00
E02003714,0,0.01
E02003715,0,0.01
E02003716,0,0.01
E02003717,0,0.02
E02003718,0,0.05
E02006823,0,0.00
E02006824,0,0.00
