MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
E02000277,"Bullsmoor & Freezywater",0,451.0,0.00,3.827,0,13044.30,753.42,8955.15
E02000278,"Turkey Street",0,766.0,87.97,5.945,5,0.00,2533.41,0.00
E02000279,"Enfield Lock",0,490.0,1155.82,5.926,2,0.00,43.04,35327.24
E02000280,"Chase & Crews Hill",0,1468.0,2768.14,23.368,4,0.00,0.00,101.46
E02000281,"Carterhatch & Forty Hall",0,536.0,282.17,11.351,0,0.00,0.00,0.00
E02000282,"Enfield Wash",0,586.0,163.65,5.399,2,0.00,401.67,0.00
E02000283,"Brimsdown Avenue",0,271.0,64.97,3.976,0,0.00,0.00,2001.25
E02000284,"Chase Side",0,667.0,441.04,17.363,0,0.00,0.00,0.00
E02000285,"Enfield Town North",0,315.0,29.39,8.347,0,0.00,0.00,0.00
E02000286,"Chase Farm & The Ridgeway",0,221.0,892.77,21.698,0,0.00,876.84,1053.27
E02000287,"Cockfosters & Hadley Wood",0,907.0,2031.80,42.602,3,0.00,0.00,0.00
E02000288,"Southbury East",0,872.0,3237.83,9.389,0,0.00,17873.82,5186.68
E02000289,"World's End",0,754.0,92.58,17.096,1,0.00,0.00,0.00
E02000290,"Brimsdown & Ponders End",0,718.0,2096.41,7.555,0,0.00,0.00,7327.59
E02000291,"Enfield Town South & Bush Hill Park",0,807.0,815.64,67.171,5,0.00,3964.65,0.00
E02000292,"Southbury West",0,657.0,2500.85,9.572,8,0.00,7554.19,0.00
E02000293,"Grange Park",0,783.0,192.54,23.082,0,0.00,0.00,0.00
E02000294,"Ponders End South",0,613.0,713.29,4.318,1,0.00,0.00,0.00
E02000295,"Oakwood Park & Highlands",0,533.0,470.46,27.677,0,0.00,2513.71,0.00
E02000296,"Southgate",0,598.0,1451.39,86.977,9,0.00,6976.92,0.00
E02000297,"Bury Street West & Village Road",0,904.0,102.30,18.954,0,0.00,0.00,0.00
E02000298,"Winchmore Hill",0,459.0,470.05,80.712,2,0.00,2615.78,0.00
E02000299,"Lower Edmonton North",0,342.0,17.19,4.411,0,0.00,0.00,0.00
E02000300,"Haslebury North",0,657.0,136.26,3.100,3,0.00,0.00,0.00
E02000301,"Lower Edmonton South",0,342.0,251.81,5.235,11,0.00,0.00,595.80
E02000302,"Palmers Green East",0,1036.0,161.12,18.330,0,0.00,4893.43,0.00
E02000303,"Haslebury South",0,752.0,0.00,10.694,1,0.00,0.00,0.00
E02000304,"Southgate Green",0,848.0,269.23,23.285,1,0.00,0.00,0.00
E02000305,"Palmers Green West",0,459.0,133.06,15.272,4,0.00,857.81,0.00
E02000306,"Edmonton Green",0,495.0,904.69,5.500,2,0.00,245.42,0.00
E02000307,"Tatem Park",0,707.0,60.89,5.765,4,0.00,0.00,63.86
E02000308,"New Southgate & Arnos Grove",0,848.0,672.69,21.409,11,0.00,226.22,0.00
E02000309,"Upper Edmonton East & Meridian Water",0,757.0,3150.72,6.949,29,0.00,12953.36,0.00
E02000311,"Bowes",0,365.0,174.51,11.653,7,0.00,0.00,0.00
E02000312,"Broomfield Park",0,1105.0,25.07,22.342,10,0.00,733.35,0.00
E02006793,"Upper Edmonton West",0,153.0,829.25,2.725,12,0.00,194.31,0.00
