MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse,brownfield
W02000252,"Hirwaun & Rhigos",0,207.0,293.29,10.367,0,0.00,329.97,0.00,0
W02000253,"Aberdare North & Llwydcoed",0,100.0,789.91,7.692,2,0.00,7233.56,0.00,0
W02000254,"Aberdare West",0,100.0,1411.27,9.032,0,0.00,0.00,0.00,0
W02000255,"Aberdare East & Cwm-bach",0,131.0,1188.87,7.171,0,0.00,0.00,0.00,0
W02000256,"Aberaman",0,100.0,71.78,11.596,0,0.00,0.00,0.00,0
W02000257,"Mountain Ash",0,31.0,1127.82,5.556,0,0.00,1328.45,0.00,0
W02000258,"Treherbert",0,16.0,23.22,0.000,0,0.00,0.00,0.00,0
W02000259,"Penrhiw-ceibr",0,31.0,0.00,3.243,0,0.00,0.00,0.00,0
W02000260,"Ferndale & Maerdy",0,8.0,78.79,0.000,0,0.00,0.00,0.00,0
W02000261,"Treorchy",0,35.0,576.54,0.000,0,0.00,3016.59,0.00,0
W02000262,"Pentre",0,11.0,0.00,0.000,0,0.00,0.00,0.00,0
W02000263,"Abercynon",0,108.0,337.04,4.168,0,0.00,0.00,0.00,0
W02000264,"Tylorstown",0,8.0,286.60,0.000,0,0.00,2148.45,0.00,0
W02000265,"Ystrad & Llwynypia",0,33.0,664.06,1.933,0,0.00,6048.22,0.00,0
W02000266,"Glyn-coch & Ynys-y-bwl",0,77.0,20.00,3.125,0,0.00,0.00,0.00,0
W02000267,"Tonypandy West & Clydach Vale",0,72.0,391.47,5.807,0,0.00,1995.79,0.00,0
W02000268,"Porth East & Ynys-hir",0,143.0,135.02,12.800,0,0.00,0.00,0.00,0
W02000269,"Tonypandy East",0,72.0,82.67,4.176,0,0.00,0.00,0.00,0
W02000270,"Pontypridd East & Cilfynydd",0,77.0,308.51,3.293,0,0.00,7824.83,0.00,0
W02000271,"Porth West",0,72.0,683.51,8.810,0,0.00,4328.81,0.00,0
W02000272,"Pontypridd West",0,199.0,1499.68,12.193,0,0.00,2045.12,0.00,0
W02000273,"Trefforest",0,77.0,1664.83,4.425,0,0.00,0.00,0.00,0
W02000274,"Tonyrefail West",0,190.0,310.70,10.249,0,0.00,0.00,0.00,0
W02000275,"Tonyrefail East",0,194.0,26.68,6.955,0,0.00,0.00,0.00,0
W02000276,"Church Village East & Ton-teg",0,298.0,705.62,25.045,1,0.00,1188.16,4093.64,0
W02000277,"Taff's Well & Nantgarw",0,378.0,4242.11,24.380,3,0.00,21135.65,0.00,0
W02000278,"Church Village West",0,169.0,178.29,30.878,0,0.00,0.00,0.00,0
W02000279,"Beddau & Tyn-y-nant",0,313.0,0.00,23.834,0,0.00,0.00,0.00,0
W02000280,"Bryn-cae & Llanharan",0,262.0,1579.03,27.037,0,0.00,0.00,0.00,0
W02000281,"Llantrisant & Talbot Green",0,260.0,4805.57,47.912,0,0.00,13492.42,0.00,0
W02000282,"Pont-y-clun & Llanharry",0,144.0,1452.63,37.531,0,0.00,0.00,564.38,0
