MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
E02006047,"Rode",0,1379.0,2930.17,53.362,2,0.00
E02006048,"Stratton",0,505.0,673.07,20.620,0,0.00
E02006049,"Frome North East",0,239.0,754.04,12.225,0,0.00
E02006050,"Frome North West",0,239.0,1261.58,18.462,0,0.00
E02006051,"Draycott",0,610.0,629.41,39.025,0,0.00
E02006052,"Oakhill",0,705.0,1481.15,30.687,0,0.00
E02006053,"Frome South & East",0,239.0,1485.97,20.083,0,0.00
E02006054,"Wells Town",0,160.0,2339.26,45.616,3,0.00
E02006055,"Shepton Mallet",0,119.0,1949.50,24.632,4,0.00
E02006056,"Evercreech & Nunney",0,671.0,9364.84,23.598,0,0.00
E02006057,"Glastonbury Town",0,141.0,1525.53,28.775,1,0.00
E02006058,"Glastonbury West & Street South",0,335.0,1356.80,13.338,2,0.00
E02006059,"Pilton",0,810.0,274.09,23.485,0,0.00
E02006060,"Street Village",0,141.0,3490.48,9.431,2,29697.82
