MSOA,index-of-transport-accesibility,chargepoints
E02001347,0.149,0.01
E02001348,0.129,0.01
E02001349,0.104,0.00
E02001350,0.202,0.01
E02001351,0.224,0.08
E02001352,0.116,0.00
E02001353,0.056,0.00
E02001354,0.139,0.00
E02001355,0.124,0.00
E02001356,0.148,0.00
E02001357,0.172,0.00
E02001358,0.119,0.00
E02001359,0.127,0.00
E02001360,0,0.00
E02001361,0.119,0.00
E02001362,0.156,0.00
E02001363,0.131,0.01
E02001364,0.117,0.00
E02001365,0.114,0.00
E02001366,0.131,0.00
E02001367,0.122,0.00
E02001368,0.088,0.00
E02001369,0.092,0.01
E02001370,0.081,0.01
E02001371,0.177,0.00
E02001372,0.197,0.02
E02001373,0.145,0.08
E02001374,0.095,0.05
E02001375,0.23,0.04
E02001376,0.078,0.00
E02001377,0.077,0.02
E02001378,0.213,0.00
E02001380,0.22,0.01
E02001381,0.078,0.00
E02001382,0.184,0.01
E02001383,0.086,0.12
E02001384,0.104,0.00
E02001385,0.085,0.00
E02001386,0.109,0.00
E02001387,0.17,0.00
E02001388,0.121,0.03
E02001389,0.087,0.00
E02001390,0.069,0.01
E02001391,0.356,0.00
E02001392,0.118,0.00
E02001393,0.14,0.00
E02001394,0.115,0.00
E02001395,0.121,0.01
E02001396,0.061,0.10
E02001397,0.126,0.00
E02001398,0.062,0.01
E02001399,0.113,0.00
E02001400,0.115,0.00
E02001401,0.134,0.00
E02001402,0.091,0.01
E02001403,0.095,0.03
E02001404,0.087,0.01
E02001405,0.166,0.01
E02006932,0.096,0.01
E02006933,0.054,0.02
E02006934,0.085,0.03
