E02005442	Ermine
E02005443	Glebe Park
E02005444	Cathedral & West Common
E02005445	Monks Road
E02005446	Wharf & University
E02005447	Pelham Bridge & South Common
E02005448	Birchwood West
E02005449	Boultham & New Boultham
E02005450	Hartsholme & Birchwood East
E02005451	Bracebridge North & Boultham Moor
E02005452	Bracebridge South & Swallow Beck
