MSOA,index-of-transport-accesibility,chargepoints
E02001539,0.148,0.00
E02001540,0.18,0.00
E02001541,0.283,0.03
E02001542,0.207,0.00
E02001543,0.195,0.00
E02001544,0.149,0.01
E02001545,0.114,0.00
E02001546,0.157,0.01
E02001547,0.246,0.00
E02001548,0.138,0.01
E02001549,0.143,0.00
E02001550,0.137,0.01
E02001551,0.146,0.00
E02001552,0.142,0.01
E02001553,0.109,0.01
E02001554,0.225,0.00
E02001555,0.135,0.00
E02001556,0.109,0.00
E02001557,0.129,0.00
E02001558,0.169,0.00
E02001559,0.109,0.01
E02001560,0.137,0.02
E02001561,0.138,0.00
E02001562,0.099,0.01
E02001563,0.112,0.02
E02001564,0.156,0.00
E02001565,0.092,0.03
E02001566,0.109,0.02
E02001567,0.285,0.00
E02001568,0.133,0.00
E02001569,0.11,0.00
E02001570,0.113,0.00
E02001571,0.304,0.01
E02001572,0.199,0.00
E02001573,0.146,0.00
E02001574,0.122,0.00
E02001575,0.104,0.01
E02001576,0.218,0.00
E02001577,0.227,0.00
