msoa,estimated capacity
E02000001,0.00
E02000002,0.00
E02000003,0.00
E02000004,0.00
E02000005,0.00
E02000007,0.00
E02000008,0.00
E02000009,0.00
E02000010,0.00
E02000011,0.00
E02000012,0.00
E02000013,0.00
E02000014,0.00
E02000015,0.00
E02000016,0.00
E02000017,0.00
E02000018,0.00
E02000019,8523.51
E02000020,10260.77
E02000021,0.00
E02000022,1200.32
E02000023,28481.28
E02000024,0.00
E02000025,0.00
E02000026,0.00
E02000027,0.00
E02000028,0.00
E02000029,0.00
E02000030,0.00
E02000031,7742.86
E02000032,0.00
E02000033,0.00
E02000034,0.00
E02000035,0.00
E02000036,0.00
E02000037,0.00
E02000038,0.00
E02000039,0.00
E02000040,0.00
E02000041,0.00
E02000042,250.09
E02000043,0.00
E02000044,0.00
E02000045,692.66
E02000046,7.31
E02000047,0.00
E02000048,0.00
E02000049,0.00
E02000050,3430.14
E02000051,1196.18
E02000052,0.00
E02000053,0.00
E02000054,0.00
E02000055,0.00
E02000056,0.00
E02000057,0.00
E02000058,0.00
E02000059,0.00
E02000060,0.00
E02000061,0.00
E02000062,0.00
E02000063,0.00
E02000064,0.00
E02000065,0.00
E02000066,0.00
E02000067,0.00
E02000068,67362.63
E02000069,0.00
E02000070,0.00
E02000071,0.00
E02000072,0.00
E02000073,0.00
E02000074,0.00
E02000075,0.00
E02000077,0.00
E02000078,0.00
E02000079,0.00
E02000080,0.00
E02000081,0.00
E02000082,0.00
E02000083,0.00
E02000084,0.00
E02000085,0.00
E02000086,0.00
E02000087,0.00
E02000088,0.00
E02000089,0.00
E02000090,689.48
E02000091,0.00
E02000092,21798.26
E02000093,0.00
E02000094,0.00
E02000095,0.00
E02000096,0.00
E02000097,0.00
E02000098,0.00
E02000099,0.00
E02000100,0.00
E02000101,0.00
E02000102,0.00
E02000103,13521.19
E02000104,0.00
E02000105,0.00
E02000106,0.00
E02000107,0.00
E02000108,0.00
E02000109,0.00
E02000110,0.00
E02000111,0.00
E02000112,0.00
E02000113,0.00
E02000114,256.24
E02000115,0.00
E02000116,0.00
E02000117,0.00
E02000118,0.00
E02000119,45220.91
E02000120,0.00
E02000121,16602.73
E02000122,140.65
E02000123,32.76
E02000124,0.00
E02000125,0.00
E02000126,0.00
E02000127,0.00
E02000128,0.00
E02000130,0.00
E02000131,0.00
E02000132,0.00
E02000133,0.00
E02000134,0.00
E02000135,4639.79
E02000136,0.00
E02000137,0.00
E02000138,0.00
E02000139,0.00
E02000140,11988.42
E02000141,0.00
E02000142,0.00
E02000144,0.00
E02000145,19084.83
E02000146,0.00
E02000147,0.00
E02000148,0.00
E02000149,36987.45
E02000150,0.00
E02000151,0.00
E02000152,0.00
E02000153,0.00
E02000154,549.89
E02000155,0.00
E02000156,0.00
E02000157,0.00
E02000158,0.00
E02000159,0.00
E02000160,0.00
E02000161,0.00
E02000162,0.00
E02000163,0.00
E02000165,0.00
E02000166,0.00
E02000167,0.00
E02000168,10314.18
E02000169,0.00
E02000170,0.00
E02000171,0.00
E02000172,0.00
E02000173,0.00
E02000174,1657.27
E02000175,0.00
E02000176,0.00
E02000177,0.00
E02000178,0.00
E02000179,0.00
E02000180,0.00
E02000181,0.00
E02000182,0.00
E02000183,0.00
E02000184,0.00
E02000185,0.00
E02000186,0.00
E02000187,483.76
E02000188,15667.07
E02000189,0.00
E02000190,0.00
E02000191,268.33
E02000192,0.00
E02000193,0.00
E02000194,296.76
E02000195,0.00
E02000196,0.00
E02000197,0.00
E02000198,0.00
E02000199,0.00
E02000200,0.00
E02000201,0.00
E02000202,0.00
E02000203,0.00
E02000204,0.00
E02000206,0.00
E02000207,0.00
E02000208,0.00
E02000209,0.00
E02000210,0.00
E02000211,0.00
E02000212,0.00
E02000213,1507.67
E02000214,0.00
E02000215,2410.80
E02000216,0.00
E02000217,0.00
E02000218,0.00
E02000219,0.00
E02000220,0.00
E02000221,10173.91
E02000222,0.00
E02000223,0.00
E02000224,0.00
E02000225,0.00
E02000226,0.00
E02000227,0.00
E02000228,0.00
E02000229,0.00
E02000230,0.00
E02000231,0.00
E02000232,0.00
E02000233,0.00
E02000234,7591.97
E02000235,0.00
E02000236,0.00
E02000237,0.00
E02000238,42553.04
E02000239,0.00
E02000240,0.00
E02000241,267.40
E02000242,1866.74
E02000243,47169.52
E02000244,2256.71
E02000245,0.00
E02000246,0.00
E02000247,0.00
E02000248,5723.39
E02000249,0.00
E02000250,0.00
E02000251,0.00
E02000252,9874.20
E02000253,0.00
E02000254,0.00
E02000255,0.00
E02000256,0.00
E02000257,0.00
E02000258,0.00
E02000259,0.00
E02000260,0.00
E02000261,0.00
E02000262,0.00
E02000263,2622.82
E02000264,0.00
E02000265,0.00
E02000266,9965.62
E02000267,0.00
E02000268,0.00
E02000269,0.00
E02000270,3241.16
E02000271,19053.16
E02000272,0.00
E02000274,47042.29
E02000275,1491.44
E02000276,0.00
E02000277,8955.15
E02000278,0.00
E02000279,35327.24
E02000280,101.46
E02000281,0.00
E02000282,0.00
E02000283,2001.25
E02000284,0.00
E02000285,0.00
E02000286,1053.27
E02000287,0.00
E02000288,5186.68
E02000289,0.00
E02000290,7327.59
E02000291,0.00
E02000292,0.00
E02000293,0.00
E02000294,0.00
E02000295,0.00
E02000296,0.00
E02000297,0.00
E02000298,0.00
E02000299,0.00
E02000300,0.00
E02000301,595.80
E02000302,0.00
E02000303,0.00
E02000304,0.00
E02000305,0.00
E02000306,0.00
E02000307,63.86
E02000308,0.00
E02000309,0.00
E02000311,0.00
E02000312,0.00
E02000313,0.00
E02000314,0.00
E02000315,0.00
E02000316,0.00
E02000317,0.00
E02000318,0.00
E02000319,0.00
E02000320,0.00
E02000321,0.00
E02000323,0.00
E02000324,0.00
E02000326,0.00
E02000327,0.00
E02000328,0.00
E02000329,0.00
E02000331,0.00
E02000332,0.00
E02000333,0.00
E02000334,0.00
E02000335,0.00
E02000337,0.00
E02000339,0.00
E02000340,0.00
E02000341,0.00
E02000342,0.00
E02000343,0.00
E02000344,0.00
E02000345,0.00
E02000346,0.00
E02000347,0.00
