msoa,chargepoints
E02000001,70
E02000002,0
E02000003,4
E02000004,3
E02000005,7
E02000007,2
E02000008,0
E02000009,4
E02000010,0
E02000011,0
E02000012,6
E02000013,3
E02000014,3
E02000015,0
E02000016,4
E02000017,0
E02000018,1
E02000019,2
E02000020,3
E02000021,7
E02000022,0
E02000023,6
E02000024,3
E02000025,10
E02000026,0
E02000027,0
E02000028,0
E02000029,0
E02000030,1
E02000031,1
E02000032,0
E02000033,0
E02000034,1
E02000035,1
E02000036,2
E02000037,0
E02000038,0
E02000039,0
E02000040,3
E02000041,0
E02000042,2
E02000043,0
E02000044,0
E02000045,0
E02000046,0
E02000047,0
E02000048,19
E02000049,0
E02000050,2
E02000051,0
E02000052,1
E02000053,9
E02000054,1
E02000055,1
E02000056,2
E02000057,4
E02000058,0
E02000059,1
E02000060,1
E02000061,0
E02000062,6
E02000063,0
E02000064,5
E02000065,1
E02000066,1
E02000067,5
E02000068,1
E02000069,0
E02000070,0
E02000071,0
E02000072,0
E02000073,0
E02000074,1
E02000075,1
E02000077,0
E02000078,1
E02000079,8
E02000080,7
E02000081,0
E02000082,0
E02000083,4
E02000084,0
E02000085,4
E02000086,1
E02000087,1
E02000088,0
E02000089,0
E02000090,0
E02000091,1
E02000092,2
E02000093,6
E02000094,3
E02000095,2
E02000096,3
E02000097,2
E02000098,1
E02000099,2
E02000100,0
E02000101,4
E02000102,0
E02000103,2
E02000104,0
E02000105,1
E02000106,1
E02000107,10
E02000108,0
E02000109,2
E02000110,10
E02000111,0
E02000112,13
E02000113,6
E02000114,4
E02000115,6
E02000116,6
E02000117,3
E02000118,0
E02000119,2
E02000120,27
E02000121,3
E02000122,5
E02000123,10
E02000124,23
E02000125,20
E02000126,6
E02000127,2
E02000128,0
E02000130,7
E02000131,0
E02000132,9
E02000133,0
E02000134,4
E02000135,2
E02000136,0
E02000137,5
E02000138,0
E02000139,3
E02000140,3
E02000141,0
E02000142,0
E02000144,7
E02000145,3
E02000146,3
E02000147,2
E02000148,0
E02000149,0
E02000150,0
E02000151,0
E02000152,0
E02000153,0
E02000154,2
E02000155,0
E02000156,10
E02000157,0
E02000158,0
E02000159,0
E02000160,3
E02000161,0
E02000162,0
E02000163,2
E02000165,0
E02000166,12
E02000167,18
E02000168,22
E02000169,29
E02000170,15
E02000171,10
E02000172,11
E02000173,15
E02000174,18
E02000175,14
E02000176,15
E02000177,9
E02000178,18
E02000179,8
E02000180,19
E02000181,14
E02000182,10
E02000183,20
E02000184,10
E02000185,7
E02000186,12
E02000187,16
E02000188,8
E02000189,5
E02000190,0
E02000191,25
E02000192,10
E02000193,33
E02000194,7
E02000195,2
E02000196,1
E02000197,10
E02000198,2
E02000199,0
E02000200,5
E02000201,3
E02000202,2
E02000203,3
E02000204,10
E02000206,0
E02000207,2
E02000208,2
E02000209,6
E02000210,5
E02000211,0
E02000212,4
E02000213,10
E02000214,4
