msoa,estimated capacity
E02000001,3675.30
E02000002,0.00
E02000003,6634.71
E02000004,0.00
E02000005,1828.04
E02000007,4953.78
E02000008,0.00
E02000009,4504.96
E02000010,0.00
E02000011,0.00
E02000012,0.00
E02000013,0.00
E02000014,2268.97
E02000015,0.00
E02000016,1717.36
E02000017,0.00
E02000018,0.00
E02000019,9785.59
E02000020,38.16
E02000021,107.93
E02000022,6118.27
E02000023,0.00
E02000024,436.38
E02000025,0.00
E02000026,0.00
E02000027,0.00
E02000028,0.00
E02000029,1702.50
E02000030,0.00
E02000031,2667.87
E02000032,0.00
E02000033,0.00
E02000034,3658.82
E02000035,18.65
E02000036,0.00
E02000037,0.00
E02000038,216.24
E02000039,0.00
E02000040,2917.58
E02000041,4625.64
E02000042,4950.74
E02000043,0.00
E02000044,0.00
E02000045,9581.21
E02000046,3731.77
E02000047,0.00
E02000048,0.00
E02000049,0.00
E02000050,0.00
E02000051,0.00
E02000052,0.00
E02000053,0.00
E02000054,0.00
E02000055,802.32
E02000056,0.00
E02000057,0.00
E02000058,1772.17
E02000059,7199.43
E02000060,0.00
E02000061,1570.87
E02000062,6690.44
E02000063,0.00
E02000064,0.00
E02000065,0.00
E02000066,0.00
E02000067,6661.31
E02000068,8535.27
E02000069,0.00
E02000070,0.00
E02000071,382.47
E02000072,0.00
E02000073,0.00
E02000074,0.00
E02000075,737.25
E02000077,0.00
E02000078,0.00
E02000079,8475.87
E02000080,15888.93
E02000081,401.53
E02000082,1550.29
E02000083,15303.44
E02000084,0.00
E02000085,245.19
E02000086,0.00
E02000087,0.00
E02000088,0.00
E02000089,0.00
E02000090,3835.26
E02000091,0.00
E02000092,1210.98
E02000093,7155.89
E02000094,16146.87
E02000095,1506.46
E02000096,7986.84
E02000097,0.00
E02000098,0.00
E02000099,0.00
E02000100,0.00
E02000101,9797.00
E02000102,0.00
E02000103,0.00
E02000104,0.00
E02000105,0.00
E02000106,0.00
E02000107,0.00
E02000108,0.00
E02000109,0.00
E02000110,0.00
E02000111,5.78
E02000112,320.54
E02000113,9021.87
E02000114,3596.92
E02000115,0.00
E02000116,0.00
E02000117,0.00
E02000118,0.00
E02000119,0.00
E02000120,823.52
E02000121,12400.23
E02000122,0.00
E02000123,1272.22
E02000124,301.41
E02000125,0.00
E02000126,356.52
E02000127,1146.63
E02000128,2653.01
E02000130,3423.17
E02000131,0.00
E02000132,3267.90
E02000133,0.00
E02000134,4510.43
E02000135,0.00
E02000136,0.00
E02000137,0.00
E02000138,0.00
E02000139,343.98
E02000140,315.40
E02000141,1197.33
E02000142,3014.75
E02000144,2842.03
E02000145,7031.07
E02000146,0.00
E02000147,0.00
E02000148,0.00
E02000149,0.00
E02000150,0.00
E02000151,2705.05
E02000152,0.00
E02000153,0.00
E02000154,11518.84
E02000155,0.00
E02000156,5841.56
E02000157,0.00
E02000158,0.00
E02000159,5369.35
E02000160,0.00
E02000161,0.00
E02000162,2247.57
E02000163,1345.38
E02000165,0.00
E02000166,0.00
E02000167,0.00
E02000168,0.00
E02000169,0.00
E02000170,0.00
E02000171,0.00
E02000172,401.88
E02000173,0.00
E02000174,1392.07
E02000175,4189.03
E02000176,0.00
E02000177,554.51
E02000178,563.01
E02000179,141.80
E02000180,0.00
E02000181,0.00
E02000182,0.00
E02000183,1469.72
E02000184,4898.03
E02000185,4793.05
E02000186,2996.81
E02000187,164.97
E02000188,0.00
E02000189,0.00
E02000190,2481.85
E02000191,2914.13
E02000192,0.00
E02000193,29.69
E02000194,3563.06
E02000195,0.00
E02000196,0.00
E02000197,2183.05
E02000198,957.13
E02000199,0.00
E02000200,1977.72
E02000201,0.00
E02000202,0.00
E02000203,9846.98
E02000204,1528.55
E02000206,2123.52
E02000207,0.00
E02000208,0.00
E02000209,0.00
E02000210,330.24
E02000211,0.00
E02000212,1179.77
E02000213,3489.76
E02000214,0.00
E02000215,0.00
E02000216,0.00
E02000217,8765.56
E02000218,0.00
E02000219,0.00
E02000220,1299.17
E02000221,10649.63
E02000222,0.00
E02000223,0.00
E02000224,462.41
E02000225,0.00
E02000226,5190.95
E02000227,0.00
E02000228,0.00
E02000229,0.00
E02000230,10432.85
E02000231,0.00
E02000232,2022.76
E02000233,0.00
E02000234,2034.46
E02000235,0.00
E02000236,0.00
E02000237,0.00
E02000238,0.00
E02000239,943.06
E02000240,0.00
E02000241,0.00
E02000242,0.00
E02000243,0.00
E02000244,8692.48
E02000245,0.00
E02000246,2187.63
E02000247,0.00
E02000248,1439.08
E02000249,3089.11
E02000250,0.00
E02000251,0.00
E02000252,9793.22
E02000253,0.00
E02000254,0.00
E02000255,0.00
E02000256,0.00
E02000257,0.00
E02000258,0.00
E02000259,0.00
E02000260,5253.39
E02000261,0.00
E02000262,4381.64
E02000263,0.00
E02000264,277.66
