msoa,capacity
E02001509,5.95
E02001510,6.15
E02001511,6.15
E02001512,5.89
E02001513,5.89
E02001514,6.15
E02001515,5.95
E02001516,6.15
E02001517,5.95
E02001518,5.89
E02001519,5.89
E02001520,5.95
E02001521,5.89
E02001522,5.79
E02001523,5.89
E02001524,5.97
E02001525,5.89
E02001526,5.89
E02001527,5.95
E02001528,5.74
E02001529,5.89
E02001530,5.96
E02001531,5.74
E02001532,5.97
E02001533,5.96
E02001534,5.74
E02001535,5.97
E02001536,5.63
E02001537,5.83
E02001538,5.74
E02001539,2.62
E02001540,5.79
E02001541,5.32
E02001542,5.94
E02001543,5.73
E02001544,5.94
E02001545,5.94
E02001546,5.32
E02001547,5.99
E02001548,5.74
E02001549,5.94
E02001550,5.74
E02001551,6.33
E02001552,6.18
E02001553,5.83
E02001554,6.33
E02001555,6.18
E02001556,5.54
E02001557,6.10
E02001558,5.96
E02001559,6.33
E02001560,6.33
E02001561,6.33
E02001562,6.28
E02001563,4.90
E02001564,6.18
E02001565,4.90
E02001566,5.83
E02001567,5.96
E02001568,2.38
E02001569,5.82
E02001570,3.49
E02001571,5.95
E02001572,3.49
E02001573,3.49
E02001574,4.90
E02001575,5.32
E02001576,6.82
E02001577,5.53
E02001578,5.74
E02001579,5.82
E02001580,5.82
E02001581,5.82
E02001582,9.38
E02001583,5.82
E02001584,9.38
E02001585,9.38
E02001586,9.38
E02001587,4.21
E02001588,9.38
E02001589,4.21
E02001590,8.19
E02001591,8.19
E02001592,9.38
E02001593,9.38
E02001594,9.38
E02001595,5.53
E02001596,4.21
E02001597,5.53
E02001598,8.19
E02001599,8.19
E02001600,9.38
E02001601,8.19
E02001602,5.57
E02001603,5.57
E02001604,8.89
E02001605,5.53
E02001606,5.24
E02001607,5.24
E02001608,5.24
E02001609,5.24
E02001610,5.97
E02001611,5.63
E02001612,0.00
E02001613,5.63
E02001614,5.63
E02001615,5.67
E02001616,5.20
E02001617,5.67
E02001618,5.63
E02001619,5.20
E02001620,5.67
E02001621,5.96
E02001622,5.96
E02001623,5.96
E02001624,6.22
E02001625,5.96
E02001626,5.22
E02001627,5.22
E02001628,5.67
E02001629,5.96
E02001630,5.96
E02001631,5.22
E02001632,5.98
E02001633,5.22
E02001634,5.22
E02001635,5.66
E02001636,5.42
E02001637,5.98
E02001638,5.66
E02001639,5.66
E02001640,5.66
E02001642,5.57
E02001643,5.66
E02001646,9.94
E02001647,5.18
E02001648,5.66
E02001649,5.90
E02001650,9.94
E02001651,5.66
E02001652,9.94
E02001653,9.94
E02001654,5.57
E02001655,4.13
E02001656,5.22
E02001657,5.22
E02001658,5.90
E02001659,5.18
E02001660,6.00
E02001661,9.94
E02001662,5.90
E02001663,6.00
E02001664,5.90
E02001665,6.00
E02001666,5.18
E02001669,6.00
E02001670,5.90
E02001671,3.18
E02001672,5.90
E02001673,5.18
E02001674,6.00
E02001675,5.18
E02001676,5.96
E02001678,5.96
E02001679,5.96
E02001680,5.96
E02001681,5.80
E02001682,6.73
E02001683,6.73
E02001684,6.61
E02001685,5.22
E02001686,6.73
E02001688,7.25
E02001689,7.25
E02001690,6.73
E02001691,7.25
E02001692,1.53
E02001693,6.61
E02001694,7.25
E02001695,4.51
E02001696,4.51
E02001697,1.53
E02001698,6.73
E02001699,1.53
E02001700,7.25
E02001701,0.66
E02001702,6.28
E02001703,6.73
E02001704,0.66
E02001705,8.57
E02001706,6.52
E02001707,7.45
E02001708,5.84
E02001709,5.81
E02001710,5.84
E02001711,5.84
E02001712,5.81
E02001713,5.81
E02001714,5.81
E02001715,5.84
E02001718,5.84
E02001719,4.59
E02001720,4.28
E02001721,6.28
E02001722,5.81
E02001723,4.85
E02001724,4.10
E02001725,4.59
E02001726,5.81
E02001727,4.59
E02001728,6.28
E02001729,6.48
E02001730,7.43
E02001731,7.43
E02001732,6.28
E02001733,4.59
E02001734,6.28
E02001735,4.59
E02001736,5.37
E02001737,4.59
E02001738,0.00
E02001739,7.72
E02001740,4.72
E02001741,3.78
E02001742,7.72
E02001743,4.72
E02001744,7.72
E02001745,2.85
E02001746,4.72
E02001747,4.72
E02001748,3.57
E02001749,3.57
E02001750,4.72
E02001751,3.57
E02001752,5.65
E02001753,4.72
E02001754,4.72
E02001755,4.28
E02001756,5.81
E02001757,4.72
E02001758,5.65
E02001759,4.72
E02001760,4.72
E02001761,5.65
E02001762,5.65
E02001763,5.72
E02001764,5.72
E02001765,5.72
E02001766,5.72
E02001767,5.65
E02001768,7.88
E02001769,7.88
E02001770,7.88
E02001771,7.88
E02001772,7.88
E02001773,7.88
E02001774,7.98
E02001775,7.88
E02001776,7.98
E02001777,7.98
E02001778,7.88
E02001779,7.88
E02001780,7.88
E02001781,5.68
E02001782,7.98
E02001783,5.68
E02001784,7.98
E02001785,7.88
E02001786,5.68
E02001787,7.98
E02001788,7.98
E02001789,6.28
E02001790,7.98
E02001791,6.28
E02001792,4.38
E02001793,6.43
E02001794,6.43
E02001795,6.43
E02001796,4.38
E02001797,6.43
E02001798,6.43
E02001799,6.28
E02001800,7.45
E02001801,4.81
E02001802,4.81
E02001803,4.81
E02001804,5.83
E02001805,4.81
E02001806,1.70
E02001807,6.43
E02001808,4.81
E02001809,3.97
E02001810,7.45
E02001811,5.83
E02001812,6.65
E02001813,5.83
E02001814,6.65
E02001815,7.45
E02001816,6.65
E02001817,6.65
E02001818,6.65
E02001819,6.65
E02001820,5.83
E02001821,6.65
E02001822,6.65
E02001823,5.36
E02001824,5.68
E02001825,2.69
E02001826,0.78
E02002183,6.19
E02002184,5.23
E02002185,6.19
E02002186,5.23
E02002187,6.19
E02002188,5.39
E02002189,9.30
E02002190,9.30
