MSOA,index-of-transport-accesibility,chargepoints
E02001578,0.202,0.01
E02001579,0.172,0.02
E02001580,0.147,0.01
E02001581,0.145,0.01
E02001582,0.148,0.00
E02001583,0.132,0.00
E02001584,0.204,0.00
E02001585,0.154,0.01
E02001586,0.108,0.00
E02001587,0.138,0.01
E02001588,0.108,0.00
E02001589,0.116,0.00
E02001590,0.144,0.00
E02001591,0.122,0.01
E02001592,0.149,0.00
E02001593,0.177,0.00
E02001594,0.133,0.10
E02001595,0.27,0.03
E02001596,0.184,0.00
E02001597,0.261,0.01
E02001598,0.177,0.01
E02001599,0.21,0.00
E02001600,0.113,0.01
E02001601,0.246,0.00
E02001602,0.184,0.00
E02001603,0.181,0.00
E02001604,0.11,0.03
E02001605,0.174,0.00
E02001606,0.164,0.01
E02001607,0.153,0.01
E02001608,0.11,0.02
E02001609,0.179,0.00
E02001610,0.147,0.02
