MSOA,index-of-transport-accesibility,chargepoints
S02001576,0,0
S02001577,0,0
S02001578,0,0
S02001579,0,0
S02001580,0,0
S02001581,0,0
S02001582,0,0
S02001583,0,0
S02001584,0,0
S02001585,0,0
S02001586,0,0
S02001587,0,0
S02001588,0,0
S02001589,0,0
S02001590,0,0
S02001591,0,0
S02001592,0,0
S02001593,0,0
S02001594,0,0
S02001595,0,0
S02001596,0,0
S02001597,0,0
S02001598,0,0
S02001599,0,0
S02001600,0,0
S02001601,0,0
S02001602,0,0
S02001603,0,0
S02001604,0,0
S02001605,0,0
S02001606,0,0
S02001607,0,0
S02001608,0,0
S02001609,0,0
S02001610,0,0
S02001611,0,0
S02001612,0,0
S02001613,0,0
S02001614,0,0
S02001615,0,0
S02001616,0,0
S02001617,0,0
S02001618,0,0
S02001619,0,0
S02001620,0,0
S02001621,0,0
S02001622,0,0
S02001623,0,0
S02001624,0,0
S02001625,0,0
S02001626,0,0
S02001627,0,0
S02001628,0,0
S02001629,0,0
S02001630,0,0
S02001631,0,0
S02001632,0,0
S02001633,0,0
S02001634,0,0
S02001635,0,0
S02001636,0,0
S02001637,0,0
S02001638,0,0
S02001639,0,0
S02001640,0,0
S02001641,0,0
S02001642,0,0
S02001643,0,0
S02001644,0,0
S02001645,0,0
S02001646,0,0
S02001647,0,0
S02001648,0,0
S02001649,0,0
S02001650,0,0
S02001651,0,0
S02001652,0,0
S02001653,0,0
S02001654,0,0
S02001655,0,0
S02001656,0,0
S02001657,0,0
S02001658,0,0
S02001659,0,0
S02001660,0,0
S02001661,0,0
S02001662,0,0
S02001663,0,0
S02001664,0,0
S02001665,0,0
S02001666,0,0
S02001667,0,0
S02001668,0,0
S02001669,0,0
S02001670,0,0
S02001671,0,0
S02001672,0,0
S02001673,0,0
S02001674,0,0
S02001675,0,0
S02001676,0,0
S02001677,0,0
S02001678,0,0
S02001679,0,0
S02001680,0,0
S02001681,0,0
S02001682,0,0
S02001683,0,0
S02001684,0,0
S02001685,0,0
S02001686,0,0
