MSOA,index-of-transport-accesibility,chargepoints
S02001978,0,0
S02001979,0,0
S02001980,0,0
S02001981,0,0
S02001982,0,0
S02001983,0,0
S02001984,0,0
S02001985,0,0
S02001986,0,0
S02001987,0,0
S02001988,0,0
S02001989,0,0
S02001990,0,0
S02001991,0,0
S02001992,0,0
S02001993,0,0
S02001994,0,0
S02001995,0,0
S02001996,0,0
S02001997,0,0
S02001998,0,0
S02001999,0,0
S02002000,0,0
S02002001,0,0
S02002002,0,0
S02002003,0,0
S02002004,0,0
S02002005,0,0
S02002006,0,0
S02002007,0,0
S02002008,0,0
S02002009,0,0
S02002010,0,0
S02002011,0,0
S02002012,0,0
S02002013,0,0
S02002014,0,0
S02002015,0,0
S02002016,0,0
S02002017,0,0
S02002018,0,0
S02002019,0,0
S02002020,0,0
S02002021,0,0
S02002022,0,0
S02002023,0,0
S02002024,0,0
S02002025,0,0
S02002026,0,0
S02002027,0,0
S02002028,0,0
S02002029,0,0
S02002030,0,0
S02002031,0,0
S02002032,0,0
S02002033,0,0
