MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse,brownfield
E02003439,"Twyford East & Wargrave",0,949.0,1435.64,63.136,1,0.00,0.00,0.00,0
E02003440,"Twyford West & Charvil",0,422.0,796.23,50.351,0,0.00,2121.65,0.00,0.07
E02003441,"Sonning & Woodley North",0,1047.0,2968.76,40.668,0,0.00,0.00,0.00,0
E02003442,"Woodley East",0,422.0,415.17,32.378,0,0.00,0.00,0.00,4.458028
E02003443,"Woodley South",0,436.0,1240.13,29.904,0,0.00,5340.08,0.00,0
E02003444,"Earley",0,1266.0,4142.12,81.812,4,0.00,2079.35,26271.80,0
E02003445,"Southlake",0,436.0,638.65,28.022,0,0.00,714.72,0.00,0
E02003446,"Lower Earley North",0,496.0,3162.78,36.110,0,0.00,11248.11,0.00,0
E02003447,"Winnersh",0,619.0,4853.24,48.354,6,0.00,2242.99,0.00,0
E02003448,"Wokingham North & Hurst",0,1639.0,2081.65,62.463,1,0.00,3196.04,0.00,15.480452
E02003449,"Lower Earley South",0,619.0,421.12,16.720,0,0.00,0.00,0.00,1.987045
E02003450,"Shinfield",0,603.0,1405.83,31.261,0,0.00,0.00,0.00,7.966776
E02003451,"Wokingham Town",0,966.0,2538.71,192.096,1,0.00,3667.10,1926.09,0.22
E02003452,"Wokingham East",0,779.0,386.45,34.412,1,0.00,0.00,190.51,1.046368
E02003453,"Barkham & Woose Hill",0,1105.0,142.50,33.615,0,0.00,0.00,0.00,6.56
E02003454,"Wokingham West & South",0,779.0,2342.94,56.910,5,0.00,12500.32,508.18,2.81
E02003455,"Spencers Wood & Swallowfield",0,912.0,3142.60,46.852,4,45310.15,0.00,38207.75,5.229364
E02003456,"Arborfield & Garrison",0,1876.0,2278.31,41.258,6,0.00,0.00,0.00,81.204532
E02003457,"Finchampstead",0,966.0,491.80,51.411,0,0.00,173.27,0.00,0
E02003458,"Crowthorne North",0,624.0,717.88,50.511,0,0.00,0.00,69.62,0
