E02003065	Portishead Central
E02003066	Portishead Redcliffe
E02003067	Portishead South
E02003068	Pill & Easton
E02003069	Clevedon North & Walton
E02003070	Long Ashton & Gordano
E02003071	Clevedon Central
E02003072	Nailsea West
E02003073	Nailsea East
E02003074	Clevedon South & Yeo
E02003075	Backwell & Flax Bourton
E02003076	Yatton & Cleeve
E02003077	Wrington
E02003078	Congresbury & Kewstoke
E02003079	North Worle
E02003080	Mid Worle
E02003081	Weston Milton
E02003082	Weston Hillside
E02003084	Weston Town
E02003085	Weston Bournville
E02003086	Weston Clarence
E02003087	Hutton
E02003088	Winscombe
E02003089	Weston Uphill
E02006845	South Worle
E02006846	Weston Winterstoke
