MSOA,index-of-transport-accesibility,chargepoints
E02001229,0.091,0.00
E02001230,0.088,0.00
E02001231,0.064,0.00
E02001232,0.107,0.00
E02001233,0.132,0.00
E02001234,0.102,0.01
E02001235,0.115,0.00
E02001236,0.115,0.02
E02001237,0.094,0.00
E02001238,0.117,0.00
E02001239,0.077,0.01
E02001240,0.096,0.00
E02001241,0.2,0.05
E02001242,0.177,0.01
E02001243,0.103,0.01
E02001244,0.11,0.00
E02001245,0.105,0.02
E02001246,0.093,0.00
E02001247,0.109,0.00
E02001248,0.122,0.00
E02001249,0.174,0.02
E02001250,0.081,0.00
E02001251,0.164,0.00
E02001252,0.199,0.00
E02001253,0.128,0.00
E02001254,0.118,0.00
E02001255,0.133,0.00
E02001256,0.182,0.01
E02001257,0.074,0.00
E02001258,0.112,0.00
