E02005253	Grimsargh & Goosnargh
E02005254	Broughton & Wychnor
E02005255	Fulwood
E02005256	Longsands
E02005257	Ingol
E02005258	Cadley & College
E02005259	Brookfield & Holme Slack
E02005260	Haslam Park
E02005261	Ribbleton
E02005262	Lea & Marina
E02005263	Moor Park
E02005264	Plungington & University
E02005265	Ashton-on-Ribble & Larches
E02005266	St Matthew's
E02005267	St George's
E02005268	Frenchwood & Fishwick
E02005269	Preston Town Centre
