W02000200	Dulais Valley
W02000201	Glynneath
W02000202	Pontardawe
W02000203	Aberdulais & Resolfen
W02000204	Cadoxton & Bryn-coch
W02000205	Neath Abbey
W02000206	Neath Town
W02000207	Cimla
W02000208	Skewen & Jersey Marine
W02000209	Glyncorrwg & Blaengwynfi
W02000210	Neath South
W02000211	Briton Ferry
W02000212	Cwmafan & Bryn
W02000213	Baglan
W02000214	Sandfields
W02000215	Aberafan
W02000216	Port Talbot East
W02000217	Port Talbot South & Margam
W02000417	Ystalyfera & Gwaun-Cae-Gurwen
