MSOA,index-of-transport-accesibility,chargepoints
E02003212,0,0.00
E02003214,0,0.00
E02003215,0,0.01
E02003216,0,0.01
E02003217,0,0.00
E02003218,0,0.00
E02003219,0,0.01
E02003220,0,0.00
E02003221,0,0.00
E02003222,0,0.00
E02003223,0,0.01
E02003224,0,0.00
E02003225,0,0.01
E02003226,0,0.03
E02003227,0,0.00
E02003228,0,0.03
E02003229,0,0.00
E02003230,0,0.02
E02003231,0,0.00
E02003232,0,0.01
E02003233,0,0.01
E02003234,0,0.01
E02003235,0,0.08
E02003236,0,0.01
E02006847,0,0.01
E02006848,0,0.05
E02006849,0,0.01
