MSOA,index-of-transport-accesibility,chargepoints
E02001958,0,0.17
E02001959,0,0.10
E02001961,0,0.01
E02001962,0,0.02
E02001963,0,0.13
E02001964,0,0.02
E02001965,0,0.02
E02001966,0,0.04
E02001967,0,0.00
E02001968,0,0.12
E02001969,0,0.16
E02001970,0,0.00
E02001971,0,0.03
E02001972,0,0.02
E02001973,0,0.08
E02001974,0,0.11
E02001975,0,0.08
E02001976,0,0.06
E02001977,0,0.18
E02001978,0,0.10
E02001979,0,0.05
E02001980,0,0.00
E02001981,0,0.03
E02001982,0,0.00
E02001983,0,0.32
E02001984,0,0.16
E02001985,0,0.11
E02001986,0,0.00
E02001987,0,0.10
E02001988,0,0.21
E02001989,0,0.00
E02001990,0,0.02
E02001991,0,0.10
E02001992,0,0.08
E02001993,0,0.02
E02001994,0,0.09
E02001995,0,0.02
E02001996,0,0.01
E02001997,0,0.00
E02001998,0,0.00
E02001999,0,0.01
E02006805,0,0.00
