MSOA,index-of-transport-accesibility,chargepoints
E02002244,0.119,0.00
E02002245,0.136,0.00
E02002246,0.149,0.02
E02002247,0.086,0.02
E02002248,0.134,0.00
E02002249,0.147,0.00
E02002250,0.092,0.00
E02002251,0.169,0.03
E02002252,0.107,0.00
E02002253,0.116,0.00
E02002254,0.15,0.02
E02002255,0.109,0.00
E02002256,0.067,0.01
E02002257,0.107,0.00
E02002258,0.128,0.03
E02002259,0.112,0.02
E02002260,0.115,0.02
E02002261,0.073,0.01
E02002262,0.138,0.02
E02002263,0.147,0.00
E02002264,0.08,0.00
E02002265,0.067,0.01
E02002266,0.085,0.00
E02002267,0.097,0.00
E02002268,0.103,0.02
E02002269,0.144,0.00
E02002270,0.194,0.00
