MSOA,index-of-transport-accesibility,chargepoints
E02001098,0.089,0.00
E02001099,0.135,0.01
E02001100,0.107,0.01
E02001101,0.115,0.00
E02001102,0.131,0.00
E02001103,0.129,0.00
E02001104,0.148,0.00
E02001105,0.172,0.02
E02001106,0.15,0.00
E02001107,0.229,0.00
E02001108,0.117,0.02
E02001109,0.142,0.00
E02001110,0.123,0.00
E02001111,0.107,0.09
E02001112,0.11,0.00
E02001113,0.201,0.01
E02001114,0.177,0.02
E02001115,0.135,0.00
E02001116,0.148,0.00
E02001117,0.09,0.01
E02001118,0.143,0.00
E02001119,0.113,0.01
E02001121,0.131,0.02
E02001123,0.127,0.02
E02001124,0.137,0.00
E02001125,0.219,0.01
E02001126,0.1,0.00
E02001127,0.105,0.00
E02001128,0.177,0.05
E02001129,0.115,0.01
E02001130,0.104,0.00
E02001131,0.096,0.00
E02006860,0.129,0.00
