MSOA,index-of-transport-accesibility,chargepoints
E02001467,0.041,0.05
E02001468,0.059,0.02
E02001469,0.15,0.00
E02001470,0.102,0.01
E02001471,0.07,0.02
E02001472,0.094,0.00
E02001473,0.161,0.02
E02001474,0.067,0.02
E02001475,0.121,0.00
E02001476,0.085,0.01
E02001477,0.166,0.03
E02001478,0.187,0.01
E02001479,0.059,0.00
E02001480,0.046,0.08
E02001481,0.12,0.01
E02001482,0.089,0.02
E02001483,0.212,0.00
E02001484,0.199,0.00
E02001485,0.097,0.00
E02001486,0.134,0.00
E02001487,0.1,0.00
E02001488,0.115,0.00
E02001489,0.159,0.00
E02001490,0.199,0.00
E02001491,0.181,0.05
E02001492,0.075,0.01
E02001493,0.106,0.00
E02001494,0.087,0.00
E02001495,0.125,0.00
E02001496,0.118,0.01
E02001497,0.083,0.00
E02001498,0.11,0.00
E02001499,0.122,0.00
E02001500,0.116,0.00
E02001501,0.242,0.00
E02001502,0.118,0.00
E02001503,0.121,0.01
E02001504,0.23,0.00
E02001505,0.127,0.05
E02001506,0.128,0.00
E02001507,0.158,0.00
E02001508,0.179,0.00
