MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse,brownfield
E02004675,"Tadley West",0,608.0,813.11,51.038,2,0.00,5998.20,463.94,0
E02004676,"Tadley East",0,608.0,543.25,52.887,0,0.00,0.00,0.00,0
E02004677,"Woolton Hill",0,698.0,2381.04,52.967,1,0.00,0.00,0.00,0
E02004678,"Kingsclere & Heath End",0,1529.0,659.68,37.201,1,0.00,0.00,0.00,0
E02004679,"Bramley",0,1309.0,2029.22,46.985,0,0.00,0.00,0.00,0
E02004680,"Chineham",0,623.0,226.77,19.979,0,0.00,0.00,0.00,0
E02004681,"Popley",0,1041.0,5607.30,95.553,3,0.00,871.59,0.00,0
E02004682,"Daneshill & Little Basing",0,610.0,2748.20,40.494,2,0.00,10176.08,17347.49,0
E02004683,"Houndmills & Oakridge",0,708.0,1670.53,12.688,2,10160.55,0.00,37273.60,0
E02004684,"Winklebury & Rooksdown",0,360.0,2242.28,32.053,4,0.00,1719.52,0.00,0
E02004685,"Basingstoke Central",0,412.0,3640.52,25.654,19,0.00,14061.96,0.00,0
E02004686,"Kings Furlong",0,130.0,2496.28,12.876,2,0.00,7663.03,0.00,0
E02004687,"Buckskin & Worting",0,276.0,1075.46,21.201,0,0.00,0.00,0.00,0
E02004688,"South Ham & West Ham",0,328.0,3631.11,30.882,2,0.00,1724.17,2932.66,0
E02004689,"East Oakley",0,682.0,259.45,27.528,0,0.00,245.11,610.98,0
E02004690,"Viables",0,328.0,2676.80,15.504,0,0.00,3142.49,0.00,0
E02004691,"Old Basing & the Candovers",0,1461.0,3338.84,47.429,0,0.00,0.00,0.00,0
E02004692,"Kempshott",0,198.0,686.76,28.547,0,0.00,0.00,0.00,0
E02004693,"Brighton Hill",0,198.0,619.28,14.747,0,0.00,8363.68,0.00,0
E02004694,"Whitchurch & Ashmansworth",0,716.0,602.32,57.425,2,0.00,283.23,39.93,0
E02004695,"Hatch Warren",0,276.0,1010.49,16.677,0,0.00,10384.95,0.00,0
E02004696,"Overton & North Waltham",0,556.0,1126.30,27.999,2,0.00,0.00,452.74,0
