MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse,brownfield
E02002749,"Barton upon Humber",169,108.0,2708.51,41.067,3,0.00,5858.92,0.00,2.84
E02002750,"Goxhill",148,108.0,186.87,26.690,0,0.00,437.85,0.00,4.71
E02002751,"Winterton & Winteringham",157,124.0,173.98,5.378,0,0.00,331.59,0.00,0.56
E02002752,"Barnetby",136,305.0,2852.13,11.817,0,0.00,0.00,0.00,2.13
E02002753,"Burton upon Stather",326,228.0,3951.24,8.521,3,0.00,12008.25,0.00,1
E02002754,"Crowle & Keadby",304,1404.0,299.46,12.005,0,0.00,429.02,0.00,6.03
E02002755,"Scunthorpe North",229,197.0,3097.44,6.162,1,0.00,2020.41,0.00,24.39
E02002756,"Scunthorpe Central & Crosby",224,301.0,2211.60,15.812,1,0.00,8411.27,2832.84,1.95
E02002757,"Scunthorpe Berkeley",283,124.0,934.13,3.977,0,0.00,0.00,0.00,0.05
E02002758,"Scunthorpe Frodingham",202,197.0,4913.44,5.857,1,563.48,0.00,0.00,9.68
E02002759,"Brigg & South Ferriby",165,155.0,1103.65,38.088,2,0.00,4425.52,0.00,7.81
E02002760,"Scunthorpe Central Park",216,301.0,2843.90,7.576,0,0.00,0.00,0.00,0
E02002761,"Broughton & Appleby",227,210.0,320.21,13.306,0,0.00,140.20,0.00,0.93
E02002762,"Scunthorpe Lincoln Gardens",200,177.0,364.93,5.300,0,0.00,0.00,0.00,1.45
E02002763,"Scunthorpe Lakeside",206,73.0,1895.59,4.999,0,0.00,10127.42,0.00,0
E02002764,"Scunthorpe Westcliff",199,104.0,896.47,5.034,0,0.00,8501.89,0.00,2.3
E02002765,"Scunthorpe Ashby",176,177.0,598.02,5.388,0,0.00,0.00,0.00,0.12
E02002766,"Scunthorpe Bottesford",173,197.0,543.67,5.386,0,0.00,0.00,0.00,0
E02002767,"Scunthorpe Yaddlethorpe",167,301.0,441.39,7.237,0,0.00,0.00,0.00,0
E02002768,"Epworth & Bracon",294,1351.0,1341.49,35.843,0,0.00,191.90,0.00,0.34
E02002769,"Messingham & Scawby",151,435.0,242.33,10.764,1,0.00,805.03,0.00,0.28
E02002770,"Kirton in Lindsey & Hibaldstow",266,307.0,726.01,18.833,0,0.00,1146.55,0.00,16.61
E02002771,"Westwoodside",209,295.0,89.29,41.575,0,0.00,0.00,0.00,0.58
