MSOA,Name,index-of-transport-accessibility,chargepoints
S02001285,"?",0,0
S02001286,"?",0,0
S02001287,"?",0,0
S02001288,"?",0,0
S02001289,"?",0,0
S02001290,"?",0,0
S02001291,"?",0,0
S02001292,"?",0,0
S02001293,"?",0,0
S02001294,"?",0,0
S02001295,"?",0,0
S02001296,"?",0,0
S02001297,"?",0,0
S02001298,"?",0,0
S02001299,"?",0,0
S02001300,"?",0,0
S02001301,"?",0,0
S02001302,"?",0,0
S02001303,"?",0,0
S02001304,"?",0,0
S02001305,"?",0,0
S02001306,"?",0,0
S02001307,"?",0,0
S02001308,"?",0,0
S02001309,"?",0,0
S02001310,"?",0,0
S02001311,"?",0,0
S02001312,"?",0,0
S02001313,"?",0,0
S02001314,"?",0,0
S02001315,"?",0,0
S02001316,"?",0,0
S02001317,"?",0,0
S02001318,"?",0,0
S02001319,"?",0,0
S02001320,"?",0,0
S02001321,"?",0,0
S02001322,"?",0,0
S02001323,"?",0,0
S02001324,"?",0,0
S02001325,"?",0,0
S02001326,"?",0,0
S02001327,"?",0,0
S02001328,"?",0,0
S02001329,"?",0,0
S02001330,"?",0,0
S02001331,"?",0,0
S02001332,"?",0,0
S02001333,"?",0,0
S02001334,"?",0,0
S02001335,"?",0,0
S02001336,"?",0,0
S02001337,"?",0,0
S02001338,"?",0,0
S02001339,"?",0,0
S02001340,"?",0,0
S02001341,"?",0,0
S02001342,"?",0,0
S02001343,"?",0,0
