MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
W02000284,"Dowlais",0,91.0,0.00,8.042,2,0.00
W02000285,"Cefncoedycymer",0,191.0,0.00,6.692,0,0.00
W02000286,"Gelli-deg & Town",0,91.0,0.00,11.465,4,0.00
W02000287,"Pentre-bach & Mountain Hare",0,91.0,0.00,6.730,0,0.00
W02000288,"Merthyr Vale",0,87.0,0.00,7.888,0,0.00
W02000289,"Treharris & Trelewis",0,30.0,0.00,10.882,0,0.00
W02000415,"Gurnos",0,91.0,0.00,5.256,0,0.00
