MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
E02006504,"Earlswood",0,887.0,3035.18,46.606,0,0.00,154.37,446.75
E02006505,"Henley-in-Arden & Claverdon",0,971.0,1593.26,51.580,0,0.00,345.24,0.00
E02006506,"Studley",0,35.0,378.92,15.031,0,0.00,1728.77,0.00
E02006507,"Southam",0,793.0,938.18,125.122,7,0.00,2951.28,0.00
E02006508,"Harbury",0,1989.0,2748.76,108.571,4,0.00,260.78,0.00
E02006509,"Alcester",0,200.0,1453.47,38.413,5,0.00,1510.93,0.00
E02006510,"Wilmcote & Great Alne",0,753.0,1583.51,48.680,6,0.00,0.00,0.00
E02006511,"Wellesbourne & Snitterfield",0,1190.0,2636.41,80.288,0,0.00,4398.10,0.00
E02006512,"Stratford North",0,579.0,5984.28,184.970,10,0.00,20556.56,2019.47
E02006513,"Stratford South East & Tiddington",0,483.0,2098.12,44.335,1,0.00,3188.73,0.00
E02006514,"Stratford South West",0,483.0,7206.80,58.225,4,0.00,0.00,0.00
E02006515,"Bidford & Welford",0,889.0,2019.83,73.746,3,0.00,1143.98,0.00
E02006516,"Kineton",0,2157.0,13364.80,97.573,4,0.00,0.00,0.00
E02006517,"Lower Quinton & Ettington",0,1013.0,4951.13,70.931,1,0.00,385.77,0.00
E02006518,"Shipston-on-Stour & Brailes",0,1080.0,987.05,60.848,0,0.00,809.86,0.00
