MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,grid-capacity,distribution-centres,supermarket,warehouse,brownfield
E02001045,"Boothroyden & Higher Blackley",909,56.0,825.88,5.583,0,0,0.00,10257.59,0.00,2.5724
E02001046,"Blackley",935,56.0,513.14,6.501,2,0,0.00,6209.79,0.00,3.29757
E02001047,"Charlestown",858,243.0,1134.92,5.031,0,0,0.00,0.00,0.00,3.061532
E02001048,"Crumpsall North & Heaton Park",846,481.0,1841.31,4.718,4,0,0.00,3391.31,0.00,13.181262
E02001049,"New Moston",882,84.0,310.15,6.242,0,0,0.00,0.00,0.00,0.195624
E02001050,"Harpurhey North",833,127.0,3576.97,6.011,0,0,0.00,9539.86,0.00,2.93
E02001051,"Moston West",736,140.0,76.30,6.373,0,0,0.00,0.00,0.00,5.67232
E02001052,"Crumpsall South",756,137.0,2030.90,5.460,4,0,0.00,7042.30,0.00,0.82
E02001053,"Harpurhey South & Monsall",682,140.0,710.85,10.320,0,0,0.00,0.00,0.00,30.323065
E02001055,"Newton Heath",710,84.0,1365.92,11.935,1,0,0.00,0.00,35873.76,32.833357
E02001056,"Clayton Vale",646,238.0,70.00,2.481,0,0,0.00,0.00,0.00,13.3
E02001057,"New Islington & Miles Platting",693,306.0,1342.01,6.408,2,0,0.00,0.00,0.00,107.707065
E02001059,"Beswick",636,225.0,8652.03,0.089,6,0,0.00,21011.53,0.00,8.553661
E02001061,"Openshaw & Gorton North",691,190.0,1877.99,2.365,6,0,0.00,20074.71,0.00,10.8
E02001062,"Ardwick",744,197.0,2895.05,13.417,2,0,0.00,846.93,4914.67,6.737133
E02001063,"Hulme & University",765,132.0,4984.43,0.951,15,0,0.00,7649.34,0.00,4.603966
E02001064,"Belle Vue & West Gorton",668,136.0,5970.64,6.711,5,0,0.00,10387.94,0.00,11.596488
E02001065,"Abbey Hey",663,36.0,749.47,3.398,0,0,0.00,0.00,0.00,1.644315
E02001066,"Victoria Park",658,162.0,531.52,4.336,3,0,0.00,0.00,0.00,1.81
E02001067,"Gorton South",688,109.0,364.45,3.609,0,0,0.00,0.00,0.00,3.46
E02001068,"Moss Side West",759,251.0,194.84,5.547,0,0,0.00,0.00,1485.98,4.25
E02001069,"Rusholme West & Moss Side East",704,105.0,327.84,5.113,0,0,0.00,1242.17,0.00,0.92
E02001070,"Rusholme East",659,89.0,787.92,4.416,0,0,0.00,1177.74,0.00,3.775676
E02001071,"Levenshulme North",604,167.0,195.30,6.399,0,0,0.00,3122.06,0.00,0.4
E02001072,"Whalley Range North",680,294.0,483.82,4.982,0,0,0.00,1496.11,0.00,3.520674
E02001073,"Chorlton North",753,294.0,623.73,30.908,4,0,0.00,10345.08,0.00,2.776083
E02001074,"Fallowfield West & Whalley Range South",718,356.0,1085.97,4.750,1,0,0.00,1335.81,0.00,1.141731
E02001075,"Levenshulme Central",577,140.0,582.37,13.478,0,0,0.00,1726.41,211.09,1.060928
E02001076,"Fallowfield Central",589,386.0,1113.98,25.505,0,0,0.00,923.02,1207.95,2.48
E02001077,"Chorlton South",746,148.0,608.55,44.080,4,0,0.00,437.37,0.00,1.217001
E02001078,"Levenshulme South & Burnage North",585,67.0,310.53,10.410,0,0,0.00,0.00,285.30,2.501871
E02001079,"Withington North & Old Moat",760,440.0,285.68,23.611,2,0,0.00,0.00,0.00,1.91
E02001080,"Ladybarn",651,292.0,261.39,9.651,3,0,0.00,5029.04,0.00,0.500016
E02001081,"Beech Road & Chorlton Meadows",753,148.0,246.70,19.125,0,0,0.00,0.00,0.00,0
E02001082,"Withington West",732,230.0,372.37,28.858,0,0,0.00,788.46,0.00,1.233768
E02001083,"West Didsbury",791,378.0,1242.45,23.595,0,0,0.00,0.00,0.00,5.069512
E02001084,"Withington East",679,297.0,433.14,28.588,0,0,0.00,0.00,0.00,1.310147
E02001085,"Burnage South",676,545.0,602.40,11.041,2,0,0.00,3358.67,0.00,0.96
E02001086,"Merseybank & Barlow Moor",832,378.0,901.15,23.676,0,0,0.00,0.00,0.00,1.34
E02001087,"Didsbury Village",735,292.0,862.90,48.345,2,0,0.00,2030.58,0.00,0.2
E02001088,"Northern Moor",842,75.0,104.42,9.351,0,0,0.00,0.00,0.00,1.529956
E02001089,"East Didsbury",780,297.0,2470.29,27.510,15,0,0.00,10466.95,0.00,1.88
E02001090,"Northenden",866,472.0,2048.68,6.349,2,0,0.00,842.14,0.00,2.023301
E02001091,"Baguley West & Brooklands",791,789.0,1041.31,12.236,2,0,0.00,2839.46,0.00,0.29
E02001092,"Baguley East & Wythenshawe Park",825,75.0,788.03,13.215,1,0,0.00,10963.09,0.00,0.65
E02001093,"Benchill North & Sharston",810,242.0,567.47,16.133,0,0,0.00,2943.92,13050.38,1.091245
E02001094,"Benchill South & Wythenshawe Central",817,167.0,1540.45,10.842,1,0,0.00,4559.45,0.00,10.701387
E02001095,"Newall Green",840,242.0,4492.12,18.143,0,0,0.00,0.00,0.00,6.000399
E02001096,"Wythenshawe East & Peel Hall",784,167.0,20079.25,7.537,1,0,0.00,0.00,471.04,1.168758
E02001097,"Woodhouse Park & Airport",824,1431.0,16626.18,17.685,0,0,0.00,0.00,3133.95,1.143868
E02006902,"City Centre North & Collyhurst",703,319.0,5325.28,1.644,11,0,0.00,0.00,0.00,62.975708
E02006912,"Piccadilly & Ancoats",778,589.0,5616.35,0.726,25,0,0.00,0.00,0.00,33.457841
E02006913,"Cheetham Hill",739,355.0,3409.70,4.146,1,0,0.00,0.00,0.00,11.671443
E02006914,"University North & Whitworth Street",789,224.0,2725.77,0.000,29,0,0.00,0.00,1934.54,8.289967
E02006915,"Strangeways",764,281.0,2517.15,10.684,0,0,0.00,0.00,0.00,9.15
E02006916,"Hulme Park & St George's",805,133.0,860.67,0.000,0,0,0.00,0.00,0.00,6.365349
E02006917,"Castlefield & Deansgate",808,224.0,3388.31,0.000,16,0,0.00,0.00,0.00,23.260001
