MSOA,Name,index-of-transport-accesibility,chargepoints
E02005068,"Boxley & Detling",0,3
E02005069,"Penenden Heath",0,0
E02005070,"Allington",0,0
E02005071,"Ringlestone & Central Maidstone",0,17
E02005072,"Grove Green",0,0
E02005073,"Maidstone West",0,2
E02005074,"Bearsted & Downswood",0,0
E02005075,"Barming",0,0
E02005076,"Tovil",0,2
E02005077,"Mote Park",0,1
E02005078,"Harrietsham",0,3
E02005079,"Loose Valley & Boughton Monchelsea",0,0
E02005080,"Parkwood & Senacre",0,0
E02005081,"Yalding & Farleigh",0,0
E02005082,"Kingswood",0,2
E02005083,"Loose & Coxheath",0,0
E02005084,"Headcorn & Sutton Valence",0,0
E02005085,"Marden",0,2
E02005086,"Staplehurst",0,0
