MSOA,index-of-transport-accesibility,chargepoints
E02003892,0,0.00
E02003893,0,0.00
E02003894,0,0.02
E02003895,0,0.00
E02003896,0,0.01
E02003897,0,0.01
E02003898,0,0.00
E02003899,0,0.01
E02003900,0,0.01
E02003901,0,0.01
E02003902,0,0.00
E02003903,0,0.00
E02003904,0,0.02
E02003905,0,0.01
E02003906,0,0.01
E02003907,0,0.01
E02003908,0,0.03
E02003909,0,0.05
E02003910,0,0.07
E02003911,0,0.01
E02003912,0,0.00
E02003913,0,0.00
E02003914,0,0.00
E02003915,0,0.01
E02003916,0,0.01
E02003917,0,0.00
E02003918,0,0.02
E02003919,0,0.03
E02003920,0,0.00
E02003921,0,0.00
E02003922,0,0.04
E02003923,0,0.03
E02003924,0,0.00
E02003925,0,0.00
E02003926,0,0.00
E02003927,0,0.00
E02003928,0,0.01
E02003929,0,0.03
E02003930,0,0.01
E02003931,0,0.01
E02003932,0,0.00
E02003933,0,0.00
E02003934,0,0.01
E02003935,0,0.00
E02003936,0,0.00
E02003937,0,0.06
E02003938,0,0.02
E02003939,0,0.00
E02003940,0,0.02
E02003941,0,0.02
E02003942,0,0.01
E02003943,0,0.01
E02003944,0,0.00
E02003945,0,0.00
E02003946,0,0.02
E02003947,0,0.00
E02003948,0,0.02
E02003949,0,0.00
E02003950,0,0.01
E02003951,0,0.00
E02003952,0,0.00
E02003953,0,0.07
E02003954,0,0.02
E02003955,0,0.02
E02003956,0,0.01
E02003957,0,0.03
E02003958,0,0.00
E02003959,0,0.00
E02003960,0,0.01
E02003961,0,0.00
E02003962,0,0.01
E02003963,0,0.02
E02003964,0,0.01
