MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
E02001827,"Hill Hook",0,520.0,201.78,39.169,0,0.00
E02001828,"Four Oaks",0,661.0,1319.36,51.083,0,0.00
E02001829,"Little Sutton & Roughley",0,520.0,720.62,45.218,0,0.00
E02001830,"Sutton Coldfield North & Park",0,950.0,2890.87,223.734,0,0.00
E02001831,"Reddicap Heath",0,340.0,1153.71,40.633,0,0.00
E02001832,"Rectory Park & New Hall Valley",0,419.0,1825.73,33.702,0,548.81
E02001833,"Kingstanding North",0,575.0,597.65,15.731,0,0.00
E02001834,"Old Oscott",0,137.0,456.95,4.200,0,0.00
E02001835,"Sutton Coldfield South & Central",0,930.0,3015.54,45.265,3,0.00
E02001836,"New Oscott",0,312.0,1585.93,30.585,2,0.00
E02001837,"Kingstanding South East",0,64.0,235.38,5.374,0,0.00
E02001838,"Walmley",0,340.0,208.70,33.004,1,0.00
E02001839,"Queslett",0,211.0,827.29,4.718,0,0.00
E02001840,"Perry Common - College Road",0,130.0,395.06,5.362,0,0.00
E02001841,"Wylde Green",0,576.0,386.14,23.244,0,0.00
E02001842,"Perry Beeches West",0,147.0,155.27,5.198,0,0.00
E02001843,"Kingstanding South West",0,211.0,72.05,19.673,0,0.00
E02001844,"Chester Road",0,493.0,1048.50,24.383,0,0.00
E02001845,"Perry Beeches East",0,138.0,165.79,4.328,0,0.00
E02001846,"Short Heath",0,66.0,26.78,4.418,0,0.00
E02001847,"Minworth",0,149.0,2518.34,25.674,1,0.00
E02001848,"Upper Witton",0,197.0,355.77,3.537,0,0.00
E02001849,"Erdington Town",0,414.0,741.55,17.972,0,0.00
E02001850,"Perry Barr & South Hamstead",0,171.0,1578.18,8.067,0,0.00
E02001851,"Pype Hayes Park",0,245.0,1478.08,9.901,1,0.00
E02001852,"Stockland Green - Marsh Hill",0,66.0,47.46,3.759,0,0.00
E02001854,"Birches Green",0,179.0,10005.85,9.003,4,0.00
E02001855,"Castle Vale",0,396.0,3365.30,3.176,2,0.00
E02001856,"Brookvale",0,133.0,1169.38,3.430,2,18054.19
E02001857,"Gravelly Hill & South Erdington",0,284.0,526.80,11.823,0,0.00
E02001858,"Handsworth East",0,131.0,439.97,9.767,0,0.00
E02001859,"Birchfield East",0,302.0,2377.24,8.190,0,13700.06
E02001860,"Handsworth West",0,131.0,0.00,0.419,0,0.00
E02001861,"Birchfield West",0,202.0,63.04,10.126,0,0.00
E02001862,"Middlemore",0,107.0,75.00,0.000,0,0.00
E02001863,"Aston Park",0,67.0,2073.77,0.000,0,0.00
E02001864,"Bromford",0,68.0,174.57,7.155,0,0.00
E02001865,"Handsworth South",0,260.0,264.87,7.430,0,0.00
E02001866,"Lozells West",0,202.0,38.67,1.198,0,0.00
E02001867,"Lozells East",0,105.0,147.44,0.000,0,0.00
E02001868,"Hodge Hill",0,156.0,425.11,7.332,0,0.00
E02001869,"Nechells",0,359.0,2606.98,0.225,0,17985.14
E02001870,"Ward End & Bromford West",0,277.0,64.55,3.372,0,0.00
E02001871,"Buckland End",0,166.0,190.07,9.113,0,0.00
E02001872,"Shard End & Kingfisher",0,166.0,25.48,13.564,0,0.00
E02001873,"Winson Green & Gib Heath",0,163.0,1508.03,0.000,1,0.00
E02001874,"Washwood Heath",0,43.0,142.97,0.000,0,0.00
E02001875,"Hockley & Jewellery Quarter",0,214.0,946.64,0.068,5,0.00
E02001876,"North Central & Dartmouth Circus",0,606.0,8126.04,2.371,9,3608.10
E02001877,"Saltley East",0,90.0,150.70,0.071,0,0.00
E02001878,"Saltley West",0,162.0,348.09,0.932,4,0.00
E02001879,"Summerfield",0,249.0,320.89,3.354,0,0.00
E02001880,"Glebe Farm",0,98.0,40.35,4.859,0,0.00
E02001881,"Belchers Lane & Eastfield Road",0,143.0,51.65,1.059,0,0.00
E02001882,"Stechford",0,53.0,581.62,4.633,0,0.00
E02001883,"Kitts Green",0,1969.0,144.68,6.357,1,0.00
E02001884,"Bordesley Green North",0,124.0,0.00,4.858,0,0.00
E02001886,"Rotton Park",0,437.0,606.57,19.130,0,0.00
E02001888,"Kent's Moat",0,210.0,69.22,5.416,0,0.00
E02001889,"Little Bromwich",0,81.0,766.98,0.734,0,0.00
E02001890,"Edgbaston North",0,454.0,2208.24,22.626,0,0.00
E02001892,"Yardley Fields",0,214.0,1336.55,3.105,0,0.00
E02001893,"Yardley",0,290.0,89.98,5.036,0,0.00
E02001895,"Sheldon North",0,2081.0,1842.07,7.656,0,0.00
E02001896,"Small Heath Park",0,94.0,126.56,0.013,0,2412.72
E02001897,"Sparkbrook North",0,223.0,1104.90,1.381,1,0.00
E02001898,"Lyndon Green",0,157.0,163.43,5.855,0,0.00
E02001899,"Harborne West",0,344.0,131.10,29.051,0,0.00
E02001900,"Five Ways South & Calthorpe Park",0,395.0,1036.39,12.724,0,0.00
E02001901,"Harborne East",0,470.0,1086.64,43.805,2,0.00
E02001902,"Yardley South",0,237.0,737.23,5.423,0,0.00
E02001903,"Sparkbrook South",0,204.0,201.03,3.691,0,0.00
E02001904,"Hay Mills & Tyseley",0,410.0,937.76,18.273,4,0.00
E02001905,"Edgbaston South & University",0,593.0,4555.43,18.220,7,0.00
E02001906,"Quinton Ridgacre",0,360.0,533.85,47.326,3,0.00
E02001907,"Sheldon South",0,2645.0,944.81,12.753,0,0.00
E02001908,"Sparkhill North",0,60.0,76.94,1.364,0,0.00
E02001909,"Balsall Heath East",0,282.0,272.83,1.273,0,0.00
E02001910,"Balsall Heath West & Kingswood Road",0,282.0,144.24,1.584,0,0.00
E02001911,"Quinton East",0,101.0,51.91,10.221,0,0.00
E02001913,"Metchley",0,494.0,3382.93,27.476,1,0.00
E02001914,"Moor Green & Cannon Hill",0,222.0,293.08,7.463,0,0.00
E02001915,"Acocks Green East",0,346.0,714.56,13.370,2,0.00
E02001916,"Acocks Green West",0,209.0,218.43,5.252,0,0.00
E02001918,"Moseley Village",0,330.0,288.31,19.300,2,0.00
E02001919,"Moseley",0,282.0,8.34,11.830,0,0.00
E02001920,"Woodgate Valley",0,261.0,51.72,10.282,0,0.00
E02001921,"California",0,414.0,260.65,15.804,1,0.00
E02001922,"Selly Oak",0,306.0,2193.03,28.434,5,0.00
E02001923,"Springfield & Hall Green West",0,352.0,554.26,16.344,0,0.00
E02001924,"Hall Green East",0,149.0,373.62,9.937,1,0.00
E02001925,"Selly Oak Park & Lodge Hill",0,266.0,663.22,13.993,1,0.00
E02001926,"Stirchley North & Selly Park",0,266.0,1174.94,14.316,0,0.00
E02001927,"Weoley Castle",0,410.0,144.88,12.129,0,0.00
E02001928,"Woodgate",0,101.0,20.97,9.895,0,0.00
E02001929,"Fox Hollies",0,149.0,59.12,10.846,0,0.00
E02001930,"Kings Heath",0,300.0,881.01,11.914,1,0.00
E02001931,"Wake Green East & Moseley Bog",0,292.0,437.37,16.666,2,0.00
E02001932,"Bartley Green & Shenley Fields",0,410.0,417.24,15.367,1,0.00
E02001933,"Kings Heath Park & Stirchley East",0,441.0,305.21,10.257,0,0.00
E02001934,"Hall Green Central",0,100.0,2.85,29.884,0,0.00
E02001935,"Shenley Lane",0,309.0,306.36,29.352,0,0.00
E02001936,"Brandwood North",0,392.0,131.15,53.706,0,0.00
E02001937,"Billesley Common",0,300.0,86.40,14.893,0,0.00
E02001938,"Bournville East & Stirchley West",0,141.0,1701.56,15.869,0,0.00
E02001939,"Bournville West",0,450.0,313.99,12.025,1,0.00
E02001941,"Yardley Wood West",0,400.0,24.06,7.443,0,0.00
E02001942,"Cotteridge",0,391.0,147.92,26.483,0,0.00
E02001943,"Brandwood East",0,300.0,831.20,6.996,1,0.00
E02001944,"Brandwood End",0,249.0,198.43,8.967,0,0.00
E02001945,"Allens Cross",0,383.0,546.33,11.951,0,0.00
E02001946,"Northfield Victoria Common",0,325.0,1110.36,13.379,2,0.00
E02001947,"Druids Heath",0,249.0,63.43,8.774,0,0.00
E02001948,"Highter's Heath & Maypole",0,162.0,628.11,8.225,0,0.00
E02001949,"Lifford & Walkers Heath",0,315.0,132.99,14.694,0,0.00
E02001950,"Longbridge North",0,184.0,603.66,13.767,6,0.00
E02001951,"Frankley",0,383.0,183.74,24.645,0,0.00
E02001952,"Turves Green",0,250.0,365.02,17.364,0,0.00
E02001953,"King's Norton",0,391.0,872.45,15.708,0,0.00
E02001954,"Hawkesley",0,66.0,170.57,13.576,0,0.00
E02001955,"Longbridge South",0,437.0,1495.88,45.504,2,0.00
E02001956,"Rubery East",0,383.0,2171.32,20.981,1,0.00
E02001957,"West Heath",0,250.0,27.97,12.534,0,0.00
E02001958,"Longford",0,760.0,1380.74,8.822,30,0.00
E02001959,"Keresley",0,539.0,1733.50,9.483,18,0.00
E02001961,"Bell Green",0,360.0,378.89,7.386,2,0.00
E02001962,"Little Heath",0,223.0,1865.84,5.653,4,0.00
E02001963,"Whitmore Park",0,223.0,70.24,4.475,22,0.00
E02001964,"Henley Green & Wood End",0,137.0,342.29,11.835,3,0.00
E02001965,"Walsgrave & Woodway Park",0,353.0,3295.77,9.858,3,0.00
E02001966,"Foleshill West",0,1967.0,157.49,24.029,7,0.00
E02001967,"Brownshill Green",0,755.0,1664.10,21.856,0,0.00
E02001968,"Radford East",0,223.0,226.04,5.700,20,0.00
E02001969,"Radford West",0,223.0,251.32,5.229,28,0.00
E02001970,"Wyken Croft",0,360.0,40.75,5.871,0,0.00
E02001971,"Coundon",0,223.0,80.86,5.041,6,0.00
E02001972,"Foleshill East",0,321.0,1276.69,7.208,3,0.00
E02001973,"Stoke Heath",0,360.0,1258.44,8.827,14,0.00
E02001974,"Sherbourne",0,537.0,1434.87,12.176,19,0.00
E02001975,"Ravensdale",0,137.0,243.04,6.148,13,0.00
E02001976,"Clifford Park",0,886.0,3870.87,10.397,11,0.00
E02001977,"Naul's Mill & Bishopsgate Green",0,321.0,1084.50,2.968,31,0.00
E02001978,"Barras Heath",0,137.0,142.30,5.584,18,0.00
E02001979,"Allesley Park",0,216.0,167.36,12.362,8,0.00
E02001980,"Allesley Green & Lower Eastern Green",0,216.0,34.05,16.936,0,0.00
E02001981,"Hillfields",0,235.0,1472.68,2.510,5,0.00
E02001982,"Eastern Green & Tanyard Farm",0,444.0,355.72,17.401,0,0.00
E02001983,"Whoberley",0,444.0,827.33,17.878,55,0.00
E02001984,"Copsewood",0,886.0,190.77,13.458,27,0.00
E02001985,"Lower Stoke & Gosford Park",0,984.0,1166.54,2.817,19,0.00
E02001986,"Tile Hill",0,444.0,2.32,22.002,0,0.00
E02001987,"Chapelfields",0,314.0,256.89,13.970,18,0.00
E02001988,"Central Coventry",0,2347.0,5779.74,119.029,36,0.00
E02001989,"Earl Place & Lime Tree Park",0,444.0,1192.00,12.853,0,0.00
E02001990,"Binley",0,886.0,1969.95,18.973,4,0.00
E02001991,"Earlsdon & Canley Gardens",0,1193.0,638.31,26.008,17,0.00
E02001992,"Ernesford Grange & Stoke Aldermoor",0,749.0,169.76,19.328,13,0.00
E02001993,"Canley & Westwood Heath",0,228.0,3898.31,24.235,3,0.00
E02001994,"Cheylesmore Daventry Road",0,847.0,221.45,16.976,15,0.00
E02001995,"Whitley & Tollbar End",0,847.0,6357.02,21.681,4,0.00
E02001996,"Willenhall",0,1587.0,824.56,44.363,1,0.00
