MSOA,index-of-transport-accesibility,chargepoints
E02002951,0,0.00
E02002952,0,0.00
E02002953,0,0.00
E02002954,0,0.00
E02002955,0,0.00
E02002956,0,0.00
E02002957,0,0.00
E02002958,0,0.00
E02002959,0,0.02
E02002960,0,0.00
E02002961,0,0.00
E02002962,0,0.02
E02002963,0,0.00
E02002964,0,0.00
E02002965,0,0.10
E02002966,0,0.00
E02002967,0,0.00
E02002968,0,0.01
E02002969,0,0.00
E02002970,0,0.00
E02002971,0,0.00
E02002972,0,0.01
E02002973,0,0.02
E02002974,0,0.00
E02002975,0,0.00
E02002976,0,0.02
E02002977,0,0.00
E02002978,0,0.00
E02002979,0,0.00
E02002980,0,0.00
E02002981,0,0.00
E02002982,0,0.00
E02002983,0,0.02
E02002984,0,0.00
