MSOA,index-of-transport-accesibility,chargepoints
E02002535,0.186,0.08
E02002536,0.152,0.04
E02002537,0.13,0.03
E02002538,0.312,0.00
E02002539,0.159,0.02
E02002540,0.243,0.00
E02002541,0.151,0.00
E02002542,0.15,0.02
E02002543,0.158,0.05
E02002544,0.087,0.03
E02002545,0.3,0.00
E02002546,0.119,0.00
E02002547,0.168,0.00
E02002548,0.121,0.23
E02002549,0.274,0.00
E02002550,0.162,0.00
E02002551,0.254,0.09
E02002552,0.14,0.08
E02002553,0.115,0.00
E02002554,0.163,0.10
E02002555,0.088,0.00
E02002556,0.123,0.01
E02002557,0.094,0.01
E02002558,0.287,0.01
