E02006131	Mayfield
E02006132	Uttoxeter Heath
E02006133	Uttoxeter Town
E02006134	Rolleston-on-Dove & Tutbury
E02006135	Burton Stretton
E02006136	Abbots Bromley
E02006137	Burton Horninglow
E02006138	Burton Eton Park
E02006139	Burton Shobnall
E02006140	Burton Winshill
E02006141	Burton Central
E02006142	Burton Brizlincote
E02006143	Branston
E02006144	Burton Stapenhill
E02006145	Barton-under-Needwood
