MSOA,index-of-transport-accesibility,chargepoints
W02000252,0,0.00
W02000253,0,0.01
W02000254,0,0.00
W02000255,0,0.00
W02000256,0,0.00
W02000257,0,0.00
W02000258,0,0.00
W02000259,0,0.00
W02000260,0,0.00
W02000261,0,0.00
W02000262,0,0.00
W02000263,0,0.00
W02000264,0,0.00
W02000265,0,0.00
W02000266,0,0.00
W02000267,0,0.00
W02000268,0,0.00
W02000269,0,0.00
W02000270,0,0.00
W02000271,0,0.00
W02000272,0,0.00
W02000273,0,0.00
W02000274,0,0.00
W02000275,0,0.00
W02000276,0,0.01
W02000277,0,0.02
W02000278,0,0.00
W02000279,0,0.00
W02000280,0,0.00
W02000281,0,0.00
W02000282,0,0.00
