MSOA,index-of-transport-accesibility,chargepoints
E02003122,0,0.01
E02003123,0,0.00
E02003124,0,0.00
E02003125,0,0.00
E02003126,0,0.06
E02003127,0,0.00
E02003128,0,0.00
E02003129,0,0.01
E02003130,0,0.00
E02003131,0,0.02
E02003132,0,0.00
E02003133,0,0.00
E02003134,0,0.01
E02003135,0,0.00
E02003136,0,0.01
E02003137,0,0.01
E02003138,0,0.01
E02003139,0,0.01
E02003140,0,0.02
E02003141,0,0.00
E02003142,0,0.01
E02003143,0,0.00
E02003144,0,0.01
E02003145,0,0.00
E02003146,0,0.00
E02003147,0,0.02
E02003148,0,0.12
E02003149,0,0.00
E02003150,0,0.01
E02003151,0,0.00
E02003152,0,0.01
E02003153,0,0.01
