MSOA,Name,index-of-transport-accessibility,chargepoints
S02002292,"?",0,0
S02002293,"?",0,0
S02002294,"?",0,0
S02002295,"?",0,0
S02002296,"?",0,0
S02002297,"?",0,0
S02002298,"?",0,0
S02002299,"?",0,0
S02002300,"?",0,0
S02002301,"?",0,0
S02002302,"?",0,0
S02002303,"?",0,0
S02002304,"?",0,0
S02002305,"?",0,0
S02002306,"?",0,0
S02002307,"?",0,0
S02002308,"?",0,0
S02002309,"?",0,0
S02002310,"?",0,0
S02002311,"?",0,0
S02002312,"?",0,0
S02002313,"?",0,0
S02002314,"?",0,0
S02002315,"?",0,0
S02002316,"?",0,0
S02002317,"?",0,0
S02002318,"?",0,0
S02002319,"?",0,0
S02002320,"?",0,0
S02002321,"?",0,0
