MSOA,Name,index-of-transport-accessibility,chargepoints
S02002354,"?",0,0
S02002355,"?",0,0
S02002356,"?",0,0
S02002357,"?",0,0
S02002358,"?",0,0
S02002359,"?",0,0
S02002360,"?",0,0
S02002361,"?",0,0
S02002362,"?",0,0
S02002363,"?",0,0
S02002364,"?",0,0
S02002365,"?",0,0
S02002366,"?",0,0
S02002367,"?",0,0
S02002368,"?",0,0
S02002369,"?",0,0
S02002370,"?",0,0
S02002371,"?",0,0
S02002372,"?",0,0
S02002373,"?",0,0
S02002374,"?",0,0
S02002375,"?",0,0
S02002376,"?",0,0
S02002377,"?",0,0
S02002378,"?",0,0
S02002379,"?",0,0
S02002380,"?",0,0
S02002381,"?",0,0
S02002382,"?",0,0
S02002383,"?",0,0
S02002384,"?",0,0
S02002385,"?",0,0
S02002386,"?",0,0
S02002387,"?",0,0
S02002388,"?",0,0
S02002389,"?",0,0
S02002390,"?",0,0
S02002391,"?",0,0
S02002392,"?",0,0
S02002393,"?",0,0
S02002394,"?",0,0
S02002395,"?",0,0
S02002396,"?",0,0
S02002397,"?",0,0
S02002398,"?",0,0
S02002399,"?",0,0
S02002400,"?",0,0
S02002401,"?",0,0
S02002402,"?",0,0
S02002403,"?",0,0
S02002404,"?",0,0
S02002405,"?",0,0
S02002406,"?",0,0
S02002407,"?",0,0
S02002408,"?",0,0
S02002409,"?",0,0
S02002410,"?",0,0
S02002411,"?",0,0
S02002412,"?",0,0
S02002413,"?",0,0
S02002414,"?",0,0
S02002415,"?",0,0
S02002416,"?",0,0
S02002417,"?",0,0
S02002418,"?",0,0
S02002419,"?",0,0
S02002420,"?",0,0
S02002421,"?",0,0
S02002422,"?",0,0
S02002423,"?",0,0
S02002424,"?",0,0
S02002425,"?",0,0
S02002426,"?",0,0
S02002427,"?",0,0
S02002428,"?",0,0
S02002429,"?",0,0
S02002430,"?",0,0
S02002431,"?",0,0
S02002432,"?",0,0
S02002433,"?",0,0
S02002434,"?",0,0
S02002435,"?",0,0
