MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
W02000058,"Gronant",0,259.0,1783.11,11.768,0,0.00,801.11,0.00
W02000059,"Mostyn & Holway",0,205.0,1545.76,11.949,1,0.00,0.00,0.00
W02000060,"Holywell & Bagillt",0,119.0,2611.69,21.667,2,0.00,4868.18,0.00
W02000061,"Flint North East",0,328.0,2290.52,18.354,0,0.00,6116.85,17318.89
W02000062,"Flint South West",0,254.0,344.70,6.907,0,0.00,0.00,0.00
W02000063,"Caerwys",0,328.0,1441.54,25.489,0,0.00,0.00,0.00
W02000064,"Connah's Quay North",0,180.0,2589.22,12.270,0,0.00,0.00,0.00
W02000065,"Connah's Quay Wepre",0,344.0,2628.02,13.496,0,0.00,4223.52,33192.57
W02000066,"Shotton & Garden City",0,408.0,6084.10,27.237,0,0.00,13469.15,79254.50
W02000067,"Connah's Quay South & Northop Hall",0,344.0,293.44,15.684,0,0.00,0.00,0.00
W02000068,"Queensferry & Sandycroft",0,135.0,3498.46,27.594,0,0.00,0.00,0.00
W02000069,"Buckley North",0,344.0,1145.26,18.424,0,0.00,0.00,0.00
W02000070,"Ewloe & Hawarden",0,344.0,2773.09,26.988,1,0.00,0.00,0.00
W02000071,"New Brighton & Mynyddisa",0,209.0,489.19,14.984,1,0.00,0.00,0.00
W02000072,"Broughton & Saltney",0,342.0,9094.02,43.312,3,0.00,16884.70,8855.93
W02000073,"Mold",0,209.0,3210.52,54.397,2,0.00,9179.95,0.00
W02000074,"Buckley South",0,209.0,695.21,23.702,0,0.00,2283.32,0.00
W02000075,"Pen-y-ffordd & Higher Kinnerton",0,551.0,100.30,25.613,0,0.00,0.00,0.00
W02000076,"Leeswood",0,209.0,74.63,24.066,0,0.00,0.00,0.00
W02000077,"Hope",0,658.0,215.99,16.936,0,0.00,0.00,0.00
