MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
E02001327,"Kirkby North East",683,104.0,508.67,10.670,0,0.00,0.00,15996.71
E02001328,"Kirkby North West",720,293.0,155.76,9.367,0,0.00,0.00,0.00
E02001329,"Kirkby South East",718,104.0,1737.72,14.394,0,0.00,0.00,0.00
E02001330,"Kirkby South West & Field Lane",764,67.0,524.83,12.109,1,0.00,0.00,0.00
E02001331,"Knowsley Village & Southdene",757,296.0,1850.68,24.547,2,0.00,0.00,11940.11
E02001332,"Stockbridge Village",536,165.0,239.76,3.901,0,0.00,0.00,0.00
E02001333,"Prescot",743,273.0,3200.13,40.036,3,0.00,15937.84,0.00
E02001334,"Page Moss & Fincham",738,145.0,302.58,10.571,0,0.00,2130.08,0.00
E02001335,"Whiston North",735,161.0,2792.36,18.332,3,0.00,0.00,0.00
E02001336,"Longview & Knowsley Park",760,165.0,1309.04,11.931,0,0.00,0.00,0.00
E02001337,"Mosscroft & Bakers Green",746,165.0,966.89,11.359,0,0.00,0.00,0.00
E02001338,"Huyton Farm",752,145.0,125.34,8.693,0,0.00,0.00,0.00
E02001339,"Whiston South",746,220.0,683.80,14.259,0,0.00,360.08,0.00
E02001340,"Court Hey & Swanside",744,195.0,149.42,14.569,0,0.00,0.00,0.00
E02001341,"Huyton East",752,220.0,1756.36,19.180,0,0.00,10568.93,0.00
E02001342,"Huyton West & Roby",731,181.0,1354.63,24.797,0,0.00,0.00,0.00
E02001343,"Halsnead",804,711.0,687.49,22.945,0,0.00,1978.32,0.00
E02001344,"Halewood North",683,182.0,164.53,13.577,0,0.00,0.00,0.00
E02001345,"Halewood Central",698,40.0,29.06,10.286,1,0.00,0.00,0.00
E02001346,"Halewood South",720,249.0,2702.27,18.266,0,0.00,0.00,0.00
