MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse,brownfield
E02001578,"Brampton & West Melton",385,229.0,1876.48,18.657,2,0.00,7445.69,0.00,0
E02001579,"Wath upon Dearne",311,306.0,1221.34,41.738,4,0.00,7937.87,38994.41,0
E02001580,"Swinton North",272,64.0,586.10,15.181,2,16010.85,1907.87,0.00,0
E02001581,"Swinton South",276,128.0,0.00,8.897,2,0.00,0.00,0.00,0
E02001582,"Rawmarsh North West",296,64.0,257.68,11.764,0,0.00,0.00,0.00,0
E02001583,"Rawmarsh North East",273,128.0,0.00,10.466,0,0.00,0.00,0.00,0
E02001584,"Thorpe Hesley",471,1567.0,1048.26,9.860,0,0.00,0.00,0.00,0
E02001585,"Rawmarsh South",293,325.0,4359.17,13.094,2,0.00,10492.38,0.00,0
E02001586,"Greasborough",377,138.0,379.11,8.863,0,0.00,0.00,0.00,0
E02001587,"Thrybergh & Hooton Roberts",291,178.0,606.56,5.485,2,0.00,6902.56,0.00,0
E02001588,"Kimberworth Park",400,74.0,75.78,8.149,0,0.00,0.00,0.00,0
E02001589,"Ravenfield & Bramley North",359,435.0,54.99,16.170,0,0.00,1681.38,0.00,0
E02001590,"East Herringthorpe",348,253.0,1438.01,5.152,0,0.00,4356.55,0.00,0
E02001591,"Eastwood & East Dene",315,253.0,753.01,5.340,2,0.00,0.00,0.00,0
E02001592,"Kimberworth",440,74.0,324.31,8.149,0,0.00,0.00,0.00,0
E02001593,"Masbrough & Bradgate",411,261.0,1638.82,12.237,0,0.00,1624.92,0.00,0
E02001594,"Rotherham Central",333,672.0,4671.12,57.995,18,0.00,13076.39,0.00,0
E02001595,"Maltby West & Hellaby",375,246.0,2191.75,18.013,5,0.00,978.81,0.00,0
E02001596,"Wickersley North",380,248.0,67.47,23.847,0,0.00,531.66,0.00,0
E02001597,"Maltby East",325,465.0,815.23,22.709,1,0.00,1496.48,0.00,0
E02001598,"Herringthorpe",387,435.0,322.60,8.365,1,0.00,0.00,0.00,0
E02001599,"Wickersley South & Bramley South",405,369.0,556.21,25.134,0,0.00,6904.38,0.00,0
E02001600,"Rotherham South",375,253.0,1677.93,22.831,1,0.00,1610.47,0.00,0
E02001601,"Whiston",412,369.0,189.69,10.374,0,0.00,400.70,0.00,0
E02001602,"Brinsworth",404,427.0,1871.91,14.525,0,0.00,0.00,0.00,0
E02001603,"Thurcroft",370,385.0,379.65,19.706,0,0.00,311.08,0.00,0
E02001604,"Catcliffe",358,459.0,1973.38,20.950,5,0.00,7442.82,0.00,0
E02001605,"Laughton & Throapham",321,520.0,329.25,26.029,0,0.00,0.00,0.00,0
E02001606,"Dinnington",299,272.0,543.01,21.057,2,0.00,3125.62,0.00,0
E02001607,"Aston",362,87.0,357.34,25.107,2,0.00,371.96,0.00,0
E02001608,"Swallownest & Wales",391,113.0,1292.02,20.899,4,0.00,1459.73,0.00,0
E02001609,"Anston & Woodsetts",326,458.0,688.24,41.676,0,0.00,0.00,0.00,0
E02001610,"Kiveton",321,269.0,1928.99,26.906,4,0.00,1216.74,0.00,0
