MSOA,index-of-transport-accesibility,chargepoints
E02003599,0,0.00
E02003600,0,0.00
E02003601,0,0.00
E02003602,0,0.01
E02003603,0,0.01
E02003604,0,0.00
E02003605,0,0.01
E02003606,0,0.00
E02003607,0,0.02
E02003608,0,0.00
E02003609,0,0.02
E02003610,0,0.01
E02003611,0,0.00
E02003612,0,0.00
E02003613,0,0.00
E02003614,0,0.00
E02003615,0,0.00
E02003636,0,0.00
E02003637,0,0.03
E02003638,0,0.00
E02003639,0,0.02
E02003640,0,0.00
E02003641,0,0.00
E02003642,0,0.00
E02003643,0,0.00
E02003644,0,0.01
E02003645,0,0.01
E02003646,0,0.01
E02003647,0,0.02
E02003648,0,0.00
E02003649,0,0.00
E02003650,0,0.00
E02003651,0,0.02
