shortID,latitude,longitude,Slow,Fast,Rapid
000053b1,51.48015,-0.11267,1,,
00056c20,51.46303,-0.07250,1,1,
001a3678,51.01523,-3.11221,,2,
001bf9e1,52.94403,1.21064,,2,
001e1afa,51.48763,-0.14297,1,1,
001fca6b,51.52128,0.06589,2,,
0021a9a0,51.29801,-2.37214,2,,
0024bd20,51.49158,-0.14196,1,,
00257298,51.06267,-1.31722,,1,
0029840b,51.55146,-0.06732,1,1,
002d860c,53.27651,-1.09549,,2,
002f21b2,52.83912,0.81908,,2,
002f24d5,51.87556,0.55495,,2,
002f948c,51.30968,-0.29997,,,2
00326d5f,54.89191,-2.93524,,2,
0033ac30,52.89560,-1.19284,,2,
003607c1,53.75786,-1.57560,,2,
00373be7,52.68492,-1.82166,,2,
00381e87,52.97041,-0.06153,,2,
003ae4e8,51.53295,-0.18880,1,,
003da943,52.03702,-0.76868,,2,
003dc1fa,51.57138,0.13399,1,1,
003f23cd,53.34479,-1.36076,,2,
003f2c1d,51.46552,-0.15408,1,,
003fd16c,51.50579,-0.24430,1,,
0041dba1,51.49269,-0.10936,1,,
0043195c,51.51536,0.01054,2,,
00497881,51.49545,-0.05323,,2,
004b2914,51.32096,-0.13640,1,,
004cbc35,51.55030,-0.13270,1,,
0050f1e8,53.72733,-2.78391,,,2
0055a570,55.54642,-2.01484,,1,
0055ad22,51.45380,-0.39630,1,,
0055c3d5,51.54808,-0.14613,,2,
00570c78,53.78672,-2.39870,,2,
0057b060,51.45301,-0.97018,,1,
005878dd,53.28394,-3.57828,,2,
0062a21c,50.41515,-5.07409,,,3
00653e1c,54.55016,-1.30645,,1,
0072eb62,51.56782,0.01000,1,,
00778f1c,50.22942,-5.28520,,,3
007a4dce,52.40706,-1.47823,1,,
0084a323,51.61068,-0.42462,,2,
0088f68f,51.40218,-0.29555,1,,
0091db9e,54.78183,-1.53846,,1,
0093112b,51.47247,-0.24711,1,1,
0093d336,51.64660,-0.42811,,2,
00952df3,51.45494,-2.59899,1,1,
00970985,53.34205,-2.73668,,1,
0098de36,51.54229,-0.49045,,2,
009d4a3d,53.48339,-2.25260,,2,
00a0818d,53.95606,-1.07942,,2,
00a2c01b,55.61013,-4.49001,,2,
00a61ba9,50.52171,-4.82352,,2,
00a68dc6,51.60455,-0.69190,,2,
00b08343,51.51176,-0.20859,1,,
00b2f5de,51.47500,-0.36600,2,,
00b5f802,51.49558,-0.07383,1,,
00b8abe1,51.46987,-0.18413,1,1,
00b8e765,51.45166,-0.29546,1,1,
00b9009c,54.78670,-4.09787,,2,
00b9c818,51.49009,-0.14676,,2,
00bed4ac,50.39361,-4.08250,,2,
00bf014e,53.97305,-1.14924,,2,
00c186c3,51.50807,-0.22301,1,1,
00d3e8d7,51.41775,-0.15065,1,1,
00d8e452,52.04281,-0.74982,,2,
00da9423,51.98238,-0.22267,,2,
00dd858a,57.62870,-4.25791,,2,
00ded208,51.50373,-0.08181,1,1,
00e0c10b,51.27310,0.39902,,2,
00e523d7,52.41055,-1.51019,,,3
00e57c91,51.41051,-2.38794,,2,
00e790f3,51.51011,-0.22173,,2,
00edca0e,51.41535,-0.25202,,2,
00fcfd08,51.56053,0.14765,1,1,
00feedfa,51.61884,-0.07374,1,,
00ff31d4,52.96757,-1.17260,,2,
010036f8,53.73936,-1.60217,,1,
0105d35f,52.71870,-2.46473,,2,
0106aa64,52.67913,-1.93751,,1,2
01074d0e,54.20191,-2.59960,,,3
0109e4e4,51.45487,-2.60606,,1,
010e9b46,51.48945,-0.26111,1,,
01132a7c,51.43652,-0.15462,1,,
011aeb2f,51.44957,-0.08732,1,,
011eedbe,50.76981,0.28130,,2,
0120ec28,53.64719,-2.31743,,2,
0121db69,51.39500,0.49403,,2,
0126db51,51.41940,-0.28267,1,,
0128a910,51.49333,-0.06379,1,,
0128f24f,50.26129,-5.07374,,,3
012c20f7,53.63142,-2.68930,,1,
0138fa79,52.80050,-2.09717,,2,
013b4950,51.50635,-0.19887,1,,
013bd455,51.48567,0.01522,1,,
013c362a,56.19080,-3.95315,,,2
013d54a7,51.48642,0.09077,1,1,
013d7ed0,55.87378,-3.11726,,2,
0143f280,51.70305,-0.37351,,1,
0147329e,54.90704,-1.48731,1,1,
014774b1,52.47296,-2.08205,,2,
0147c785,51.37971,-0.10668,1,,
0147e543,50.62402,-2.54229,,2,
014951e6,51.49723,-0.25358,1,,
014ccbab,51.45408,-0.09555,1,,
014d1bf1,51.52999,-0.00993,,1,
015159ee,52.76479,-1.22851,,1,
0155df1d,51.46070,-0.20746,1,,
015c7f02,51.52055,-0.09777,,2,
015c9372,51.87556,0.55495,,2,
015ecba5,51.50179,-0.47940,,1,2
01635c2c,51.43468,-0.15809,1,1,
01637912,51.84448,-2.17346,,2,
0167800f,51.50942,-0.26693,1,,
016bf9af,53.46925,-2.24034,,1,
016c3979,53.56499,-3.05729,,,2
01768b3b,51.46208,0.04998,,,2
0177ed6b,53.45253,-2.37023,,1,
0179f6f2,51.49719,-0.22242,1,1,
017d234d,51.56329,0.04057,1,,
0184c5b7,53.54959,-1.48065,,1,2
0189d679,51.52680,-0.18211,1,,
01908405,51.32675,-0.75971,,2,
019107ec,51.56410,-0.11258,1,1,
019297a6,58.63926,-3.16123,,,3
0195d553,51.50148,-0.25160,1,,
019611f9,51.84808,-4.32360,,2,
01976393,51.08940,-1.16605,,2,
019ebd17,51.54493,-0.13118,1,,
01a23971,53.48301,-2.25321,,1,
01a28000,52.05072,1.14420,,2,
01a59562,52.47559,-1.47376,,2,
01ae20cf,50.36859,-4.14361,,2,
01b0a736,54.97749,-1.44394,,,3
01b0bc6f,51.52748,-0.20691,1,,
01b2d3cd,54.82615,-1.32585,,1,
01b335df,51.52515,-0.16306,1,,
01b89008,51.68978,-0.41735,,2,
01b905e6,51.51682,-0.15216,1,,
01c1e6e5,51.41519,-0.29168,1,,
01c37af1,54.97189,-1.40965,,2,
01c536e4,51.48877,-0.29257,2,,
