MSOA,index-of-transport-accesibility,chargepoints
E02002110,0,0.02
E02002111,0,0.00
E02002112,0,0.01
E02002113,0,0.00
E02002114,0,0.00
E02002115,0,0.00
E02002116,0,0.00
E02002117,0,0.00
E02002118,0,0.00
E02002119,0,0.01
E02002120,0,0.00
E02002121,0,0.00
E02002122,0,0.00
E02002123,0,0.00
E02002124,0,0.02
E02002125,0,0.00
E02002126,0,0.00
E02002127,0,0.00
E02002128,0,0.00
E02002129,0,0.00
E02002130,0,0.00
E02002131,0,0.00
E02002132,0,0.00
E02002133,0,0.01
E02002134,0,0.00
E02002135,0,0.00
E02002136,0,0.01
E02002137,0,0.01
E02002138,0,0.00
E02002139,0,0.01
E02002140,0,0.01
E02002141,0,0.00
E02002142,0,0.02
E02002143,0,0.00
E02002144,0,0.00
E02002145,0,0.00
E02002146,0,0.00
E02002147,0,0.01
E02002148,0,0.00
