MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse,brownfield
E02002043,"Wood Green & Old Park",0,89.0,1862.62,6.959,5,0.00,0.00,13654.43,8.27
E02002044,"Yew Tree & Tamebridge",0,232.0,288.19,19.610,0,0.00,0.00,0.00,0
E02002045,"Woods & Mesty Croft",0,151.0,1481.44,3.280,0,34309.01,404.97,34309.01,2.98
E02002046,"Friar Park",0,89.0,184.29,1.699,0,0.00,0.00,0.00,28.63
E02002047,"Wednesbury",0,214.0,1334.82,6.365,1,0.00,7564.38,6575.03,22
E02002048,"Great Barr",0,73.0,460.16,15.166,1,0.00,1490.59,0.00,0.43
E02002049,"Princes End & Willingsworth",0,309.0,271.13,4.862,0,0.00,0.00,0.00,2.52
E02002051,"Ocker Hill",0,125.0,287.66,4.768,1,0.00,0.00,0.00,1.98
E02002052,"Stone Cross & Hateley Heath",0,216.0,199.46,11.839,0,0.00,0.00,0.00,2.44
E02002053,"Hamstead East",0,147.0,142.54,9.098,0,0.00,1442.44,0.00,0
E02002054,"Hamstead West",0,73.0,160.70,10.565,0,0.00,0.00,0.00,0
E02002055,"Wednesbury South",0,430.0,216.91,7.744,0,0.00,843.40,9848.68,11
E02002056,"Tibbington",0,125.0,1084.20,8.814,0,0.00,6218.41,0.00,10.42
E02002057,"Tipton",0,125.0,386.70,10.497,0,0.00,1257.86,0.00,15.43
E02002058,"Great Bridge & Dudley Port",0,768.0,1217.37,16.823,0,0.00,2219.47,14493.66,25.08
E02002059,"West Bromwich North",0,216.0,2071.24,11.622,3,0.00,2083.10,0.00,7.61
E02002060,"Greets Green West",0,768.0,1363.48,4.325,2,0.00,9489.98,0.00,27.04
E02002061,"Greets Green East",0,216.0,4563.13,5.002,4,1280.55,14333.46,642.46,5.050638
E02002062,"West Bromwich East & Kenrick Park",0,250.0,1400.71,10.641,0,0.00,2418.94,0.00,14.93
E02002063,"North Tividale",0,600.0,9414.62,11.502,0,6788.11,1577.51,0.00,26.17
E02002064,"Tividale",0,535.0,856.76,7.523,0,0.00,0.00,0.00,0
E02002065,"Smethwick North & West",0,924.0,2186.81,5.057,0,0.00,0.00,0.00,7.15
E02002066,"Oldbury & Rood End",0,601.0,9619.64,23.541,0,216.49,11607.28,10666.43,7.23
E02002067,"Rowley West",0,620.0,273.62,8.845,0,0.00,504.26,0.00,10.55
E02002068,"Smethwick East",0,249.0,1071.98,0.169,0,0.00,8896.49,0.00,31.78
E02002069,"Whiteheath",0,606.0,2624.62,7.978,0,0.00,0.00,0.00,6.68
E02002070,"Smethwick South",0,128.0,312.13,10.696,0,0.00,0.00,0.00,1.76
E02002071,"Rowley East",0,60.0,741.98,9.236,0,0.00,0.00,0.00,59.55
E02002072,"Langley Green",0,606.0,3040.88,10.183,2,0.00,8441.55,0.00,5.71
E02002073,"Warley East",0,199.0,165.59,4.916,0,0.00,0.00,0.00,2.13
E02002074,"Warley West",0,126.0,1025.29,8.770,0,0.00,0.00,0.00,0
E02002075,"Blackheath",0,145.0,3823.55,15.657,2,0.00,0.00,0.00,0.76
E02002076,"Bearwood & Warley Woods",0,387.0,497.97,6.026,0,0.00,874.04,0.00,1.03
E02002077,"Old Hill",0,305.0,633.53,17.988,2,0.00,7207.21,0.00,8.05
E02002078,"Warley South",0,126.0,80.56,7.708,0,0.00,0.00,0.00,0
E02002079,"Brandhall",0,131.0,455.63,10.655,0,0.00,2362.74,0.00,0.1
E02002080,"Cradley Heath",0,293.0,765.93,12.619,0,0.00,1456.93,0.00,20.86
E02006810,"Charlemont",0,121.0,575.76,12.064,0,0.00,136.42,0.00,0.9
