MSOA,index-of-transport-accesibility,chargepoints
E02001045,0.118,0.00
E02001046,0.198,0.01
E02001047,0.11,0.00
E02001048,0.115,0.02
E02001049,0.181,0.00
E02001050,0.112,0.00
E02001051,0.094,0.00
E02001052,0.112,0.02
E02001053,0.107,0.00
E02001055,0.11,0.01
E02001056,0.096,0.00
E02001057,0.108,0.01
E02001059,0.105,0.03
E02001061,0.093,0.03
E02001062,0.085,0.01
E02001063,0.082,0.09
E02001064,0.1,0.03
E02001065,0.073,0.00
E02001066,0.09,0.02
E02001067,0.076,0.00
E02001068,0.109,0.00
E02001069,0.084,0.00
E02001070,0.094,0.00
E02001071,0.086,0.00
E02001072,0.082,0.00
E02001073,0.078,0.02
E02001074,0.096,0.01
E02001075,0.096,0.00
E02001076,0.095,0.00
E02001077,0.074,0.02
E02001078,0.091,0.00
E02001079,0.101,0.01
E02001080,0.101,0.02
E02001081,0.059,0.00
E02001082,0.09,0.00
E02001083,0.109,0.00
E02001084,0.095,0.00
E02001085,0.097,0.01
E02001086,0.122,0.00
E02001087,0.095,0.01
E02001088,0.158,0.00
E02001089,0,0.09
E02001090,0.256,0.01
E02001091,0.136,0.01
E02001092,0.145,0.01
E02001093,0.202,0.00
E02001094,0.141,0.01
E02001095,0.223,0.00
E02001096,0.131,0.01
E02001097,0.125,0.00
E02006902,0.092,0.06
E02006912,0.104,0.15
E02006913,0.104,0.01
E02006914,0.114,0.17
E02006915,0.094,0.00
E02006916,0.125,0.00
E02006917,0.096,0.09
