MSOA,index-of-transport-accesibility,chargepoints
E02000345,0,0.03
E02000346,0,0.00
E02000347,0,0.02
E02000348,0,0.02
E02000350,0,0.01
E02000351,0,0.02
E02000352,0,0.03
E02000353,0,0.05
E02000354,0,0.01
E02000355,0,0.08
E02000356,0,0.02
E02000357,0,0.01
E02000358,0,0.02
E02000359,0,0.03
E02000360,0,0.01
E02000361,0,0.01
E02000362,0,0.06
E02000363,0,0.02
E02000364,0,0.05
E02000365,0,0.06
E02000366,0,0.06
E02000367,0,0.07
E02000368,0,0.02
E02000369,0,0.01
E02000370,0,0.01
E02000371,0,0.08
E02006918,0,0.01
E02006921,0,0.01
