MSOA,index-of-transport-accesibility,chargepoints
E02001827,0,0.00
E02001828,0,0.00
E02001829,0,0.00
E02001830,0,0.00
E02001831,0,0.00
E02001832,0,0.00
E02001833,0,0.00
E02001834,0,0.00
E02001835,0,0.02
E02001836,0,0.01
E02001837,0,0.00
E02001838,0,0.01
E02001839,0,0.00
E02001840,0,0.00
E02001841,0,0.00
E02001842,0,0.00
E02001843,0,0.00
E02001844,0,0.00
E02001845,0,0.00
E02001846,0,0.00
E02001847,0,0.01
E02001848,0,0.00
E02001849,0,0.00
E02001850,0,0.00
E02001851,0,0.01
E02001852,0,0.00
E02001854,0,0.02
E02001855,0,0.01
E02001856,0,0.01
E02001857,0,0.00
E02001858,0,0.00
E02001859,0,0.00
E02001860,0,0.00
E02001861,0,0.00
E02001862,0,0.00
E02001863,0,0.00
E02001864,0,0.00
E02001865,0,0.00
E02001866,0,0.00
E02001867,0,0.00
E02001868,0,0.00
E02001869,0,0.00
E02001870,0,0.00
E02001871,0,0.00
E02001872,0,0.00
E02001873,0,0.01
E02001874,0,0.00
E02001875,0,0.03
E02001876,0,0.05
E02001877,0,0.00
E02001878,0,0.02
E02001879,0,0.00
E02001880,0,0.00
E02001881,0,0.00
E02001882,0,0.00
E02001883,0,0.01
E02001884,0,0.00
E02001886,0,0.00
E02001888,0,0.00
E02001889,0,0.00
E02001890,0,0.00
E02001892,0,0.00
E02001893,0,0.00
E02001895,0,0.00
E02001896,0,0.00
E02001897,0,0.01
E02001898,0,0.00
E02001899,0,0.00
E02001900,0,0.00
E02001901,0,0.01
E02001902,0,0.00
E02001903,0,0.00
E02001904,0,0.02
E02001905,0,0.04
E02001906,0,0.02
E02001907,0,0.00
E02001908,0,0.00
E02001909,0,0.00
E02001910,0,0.00
E02001911,0,0.00
E02001913,0,0.01
E02001914,0,0.00
E02001915,0,0.01
E02001916,0,0.00
E02001918,0,0.01
E02001919,0,0.00
E02001920,0,0.00
E02001921,0,0.01
E02001922,0,0.03
E02001923,0,0.00
E02001924,0,0.01
E02001925,0,0.01
E02001926,0,0.00
E02001927,0,0.00
E02001928,0,0.00
E02001929,0,0.00
E02001930,0,0.01
E02001931,0,0.01
E02001932,0,0.01
E02001933,0,0.00
E02001934,0,0.00
E02001935,0,0.00
E02001936,0,0.00
E02001937,0,0.00
E02001938,0,0.00
E02001939,0,0.01
E02001941,0,0.00
E02001942,0,0.00
E02001943,0,0.01
E02001944,0,0.00
E02001945,0,0.00
E02001946,0,0.01
E02001947,0,0.00
E02001948,0,0.00
E02001949,0,0.00
E02001950,0,0.03
E02001951,0,0.00
E02001952,0,0.00
E02001953,0,0.00
E02001954,0,0.00
E02001955,0,0.01
E02001956,0,0.01
E02001957,0,0.00
E02006807,0,0.00
E02006809,0,0.00
E02006895,0,0.01
E02006896,0,0.07
E02006897,0,0.01
E02006898,0,0.01
E02006899,0,0.04
E02006900,0,0.02
E02006901,0,0.00
