E02005584	Catton Grove & Airport
E02005585	Mile Cross
E02005586	New Catton & Mousehold North
E02005587	Heartsease & Pilling Park
E02005588	Bowthorpe & West Earlham
E02005589	Earlham
E02005590	City Centre West
E02005592	Earlham Road & College Road
E02005593	University & Avenues
E02005594	Town Close
E02005595	Eaton
E02005596	Lakenham & Tuckswood
E02006907	City Centre East
E02006908	Thorpe Hamlet & Mousehold South
