MSOA,index-of-transport-accesibility,chargepoints
E02001791,0.107,0.01
E02001792,0.077,0.03
E02001793,0.175,0.01
E02001794,0.146,0.00
E02001795,0.101,0.08
E02001796,0.066,0.03
E02001797,0.242,0.34
E02001798,0.294,0.03
E02001799,0.337,0.03
E02001800,0.47,0.02
E02001801,0.125,0.13
E02001802,0.147,0.00
E02001803,0.122,0.20
E02001804,0.277,0.00
E02001805,0.207,0.00
E02001806,0.078,0.06
E02001807,0.52,0.01
E02001808,0.126,0.02
E02001809,0.283,0.02
E02001810,0.365,0.01
E02001811,0.582,0.00
E02001812,0.143,0.02
E02001813,0.195,0.00
E02001814,0.127,0.04
E02001815,0.448,0.01
E02001816,0.13,0.01
E02001817,0.175,0.00
E02001818,0.211,0.01
E02001819,0.212,0.01
E02001820,0.357,0.00
E02001821,0.133,0.00
E02001822,0.334,0.02
E02001823,0.189,0.01
E02001824,0.22,0.01
E02001825,0.116,0.04
E02001826,0.19,0.01
