MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
E02006261,"Eye",0,271.0,1161.54,31.233,1,0.00
E02006262,"Rickinghall",0,569.0,1028.30,27.829,1,0.00
E02006263,"Fressingfield",0,648.0,413.82,30.816,0,0.00
E02006264,"Thurston",0,395.0,869.72,34.840,0,0.00
E02006265,"Stowupland",0,426.0,324.63,23.793,0,0.00
E02006266,"Elmswell South",0,491.0,1926.70,35.320,0,0.00
E02006267,"Debenham",0,426.0,1020.55,37.617,0,0.00
E02006268,"Stowmarket West",0,233.0,980.86,11.853,0,0.00
E02006269,"Stowmarket Outer",0,370.0,689.44,19.744,0,0.00
E02006270,"Stowmarket East & Needham Market North",0,370.0,3425.20,38.282,2,0.00
E02006271,"Needham Market South & Great Blakenham",0,563.0,1988.21,28.305,5,0.00
E02006272,"Claydon & Bramford",0,427.0,652.26,27.390,0,0.00
